,date,value
0,2009-05-18,1.0
1,2009-05-22,0.9986
2,2009-05-27,0.9991
3,2009-06-05,1.0001
4,2009-06-12,0.9975
5,2009-06-19,1.0118
6,2009-06-26,1.0115
7,2009-06-30,1.0169
8,2009-07-03,1.0238
9,2009-07-10,1.0438
10,2009-07-17,1.0615
11,2009-07-24,1.0932
12,2009-07-31,1.1002
13,2009-08-07,1.0863
14,2009-08-14,1.0189
15,2009-08-17,0.9688
16,2009-08-18,0.9812
17,2009-08-19,0.9473
18,2009-08-20,0.9774
19,2009-08-21,0.9906
20,2009-08-24,0.9981
21,2009-08-25,0.984
22,2009-08-26,1.0094
23,2009-08-27,1.0083
24,2009-08-28,0.9891
25,2009-08-31,0.9402
26,2009-09-01,0.938
27,2009-09-02,0.9439
28,2009-09-03,0.9758
29,2009-09-04,0.9833
30,2009-09-07,0.9935
31,2009-09-08,1.0058
32,2009-09-09,1.0116
33,2009-09-10,1.0027
34,2009-09-11,1.0171
35,2009-09-14,1.0395
36,2009-09-15,1.0396
37,2009-09-16,1.0291
38,2009-09-17,1.05
39,2009-09-18,1.0192
40,2009-09-21,1.0352
41,2009-09-22,1.0152
42,2009-09-23,0.9928
43,2009-09-24,0.9923
44,2009-09-25,0.9891
45,2009-09-28,0.9593
46,2009-09-29,0.9557
47,2009-09-30,0.9619
48,2009-10-09,0.994
49,2009-10-12,0.9918
50,2009-10-13,1.0012
51,2009-10-14,1.0069
52,2009-10-15,1.0132
53,2009-10-16,1.0136
54,2009-10-19,1.0277
55,2009-10-20,1.035
56,2009-10-21,1.0272
57,2009-10-22,1.025
58,2009-10-23,1.0433
59,2009-10-26,1.0438
60,2009-10-27,1.0219
61,2009-10-28,1.0245
62,2009-10-29,1.0033
63,2009-10-30,1.0119
64,2009-11-02,1.0324
65,2009-11-03,1.0493
66,2009-11-04,1.056
67,2009-11-05,1.0607
68,2009-11-06,1.0699
69,2009-11-09,1.0722
70,2009-11-10,1.0707
71,2009-11-11,1.0705
72,2009-11-12,1.0665
73,2009-11-13,1.0683
74,2009-11-16,1.0909
75,2009-11-17,1.0908
76,2009-11-18,1.0903
77,2009-11-19,1.1012
78,2009-11-20,1.105
79,2009-11-23,1.1192
80,2009-11-24,1.0797
81,2009-11-25,1.1059
82,2009-11-26,1.072
83,2009-11-27,1.0542
84,2009-11-30,1.0887
85,2009-12-01,1.11
86,2009-12-02,1.1151
87,2009-12-03,1.123
88,2009-12-04,1.1228
89,2009-12-07,1.1391
90,2009-12-08,1.1292
91,2009-12-09,1.1114
92,2009-12-10,1.1183
93,2009-12-11,1.1199
94,2009-12-14,1.1368
95,2009-12-15,1.1386
96,2009-12-16,1.1316
97,2009-12-17,1.1049
98,2009-12-18,1.0887
99,2009-12-21,1.0954
100,2009-12-22,1.0797
101,2009-12-23,1.0839
102,2009-12-24,1.1135
103,2009-12-25,1.1169
104,2009-12-28,1.1326
105,2009-12-29,1.1371
106,2009-12-30,1.1442
107,2009-12-31,1.1458
108,2010-01-04,1.1396
109,2010-01-05,1.1514
110,2010-01-06,1.1464
111,2010-01-07,1.1254
112,2010-01-08,1.1296
113,2010-01-11,1.1334
114,2010-01-12,1.1465
115,2010-01-13,1.1206
116,2010-01-14,1.1381
117,2010-01-15,1.1383
118,2010-01-18,1.0659
119,2010-01-19,1.0648
120,2010-01-20,1.0387
121,2010-01-21,1.0383
122,2010-01-22,1.0256
123,2010-01-25,1.0175
124,2010-01-26,0.9933
125,2010-01-27,0.9798
126,2010-01-28,0.9825
127,2010-01-29,0.9841
128,2010-02-01,0.9681
129,2010-02-02,0.9678
130,2010-02-03,0.9856
131,2010-02-04,0.9836
132,2010-02-05,0.9681
133,2010-02-08,0.9645
134,2010-02-09,0.9651
135,2010-02-10,0.9758
136,2010-02-11,0.9775
137,2010-02-12,0.9868
138,2010-02-22,0.9846
139,2010-02-23,0.9814
140,2010-02-24,0.9916
141,2010-02-25,1.0011
142,2010-02-26,0.9962
143,2010-03-01,1.003
144,2010-03-02,1.0049
145,2010-03-03,1.0101
146,2010-03-04,0.989
