,date,value
0,2023-02-22,0.9243
1,2023-02-23,0.9151
2,2023-02-24,0.9151
3,2023-02-27,0.8987
4,2023-02-28,0.9015
5,2023-03-01,0.9045
6,2023-03-02,0.9072
7,2023-03-03,0.946
8,2023-03-06,0.9839
9,2023-03-07,0.9524
10,2023-03-08,0.9664
11,2023-03-09,0.997
12,2023-03-10,0.9987
13,2023-03-13,0.9942
14,2023-03-14,1.031
15,2023-03-15,1.0145
16,2023-03-16,0.9855
17,2023-03-17,1.0011
18,2023-03-20,1.0013
19,2023-03-21,0.9893
20,2023-03-22,0.9679
21,2023-03-23,0.9774
22,2023-03-24,0.9415
23,2023-03-27,0.9382
24,2023-03-28,0.9088
25,2023-03-29,0.9728
26,2023-03-30,0.9599
27,2023-03-31,0.9835
28,2023-04-03,1.0455
29,2023-04-04,1.0493
30,2023-04-06,1.1263
31,2023-04-07,1.1664
32,2023-04-10,1.1295
33,2023-04-11,1.1058
34,2023-04-12,1.1309
35,2023-04-13,1.1277
36,2023-04-14,1.2562
37,2023-04-17,1.2416
38,2023-04-18,1.2291
39,2023-04-19,1.2553
40,2023-04-20,1.3029
41,2023-04-21,1.245
42,2023-04-24,1.2397
43,2023-04-25,1.2062
44,2023-04-26,1.1578
45,2023-04-27,1.1651
46,2023-04-28,1.1896
47,2023-05-04,1.1377
48,2023-05-05,1.1184
49,2023-05-08,1.1141
50,2023-05-09,1.0806
51,2023-05-10,1.0641
52,2023-05-11,1.069
53,2023-05-12,1.0621
54,2023-05-15,1.0872
55,2023-05-16,1.1136
56,2023-05-17,1.1294
57,2023-05-18,1.1395
58,2023-05-19,1.1416
59,2023-05-22,1.1168
60,2023-05-23,1.0897
61,2023-05-24,1.1072
62,2023-05-25,1.1172
63,2023-05-26,1.1317
64,2023-05-29,1.1514
65,2023-05-30,1.1544
66,2023-05-31,1.1453
67,2023-06-01,1.129
68,2023-06-02,1.1336
69,2023-06-05,1.1711
70,2023-06-06,1.1414
71,2023-06-07,1.1279
72,2023-06-08,1.1044
73,2023-06-09,1.1321
74,2023-06-12,1.1335
75,2023-06-13,1.1648
76,2023-06-14,1.1786
77,2023-06-15,1.1587
78,2023-06-16,1.1784
79,2023-06-19,1.1724
80,2023-06-20,1.1549
81,2023-06-21,1.0928
82,2023-06-26,1.0996
83,2023-06-27,1.0877
84,2023-06-28,1.1145
85,2023-06-29,1.1097
86,2023-06-30,1.1386
87,2023-07-03,1.1266
88,2023-07-04,1.1327
89,2023-07-05,1.0823
90,2023-07-06,1.0768
91,2023-07-07,1.0697
92,2023-07-10,1.0651
93,2023-07-11,1.0676
94,2023-07-12,1.0255
95,2023-07-13,1.0427
96,2023-07-14,1.0407
97,2023-07-17,1.0182
98,2023-07-18,1.0136
99,2023-07-19,1.0004
100,2023-07-20,0.9908
101,2023-07-21,0.986
102,2023-07-24,0.9692
103,2023-07-25,0.9874
104,2023-07-26,0.9912
105,2023-07-27,0.972
106,2023-07-28,0.9691
107,2023-07-31,0.9968
108,2023-08-01,0.9948
109,2023-08-02,1.0169
110,2023-08-03,1.0171
111,2023-08-04,1.0156
112,2023-08-07,1.0126
113,2023-08-08,1.0088
114,2023-08-09,0.9944
115,2023-08-10,1.0137
116,2023-08-11,0.9961
117,2023-08-14,0.9869
118,2023-08-15,0.9547
119,2023-08-16,0.9335
120,2023-08-17,0.953
121,2023-08-18,0.9414
122,2023-08-21,0.9337
123,2023-08-22,0.9398
124,2023-08-23,0.9094
125,2023-08-24,0.9348
126,2023-08-25,0.9173
127,2023-08-28,0.9069
128,2023-08-29,0.9621
129,2023-08-30,0.9967
130,2023-08-31,1.0299
131,2023-09-01,1.0382
132,2023-09-04,1.0235
133,2023-09-05,1.0238
134,2023-09-06,1.0745
135,2023-09-07,1.025
136,2023-09-08,1.0298
137,2023-09-11,1.0223
138,2023-09-12,1.0081
139,2023-09-13,1.0018
140,2023-09-14,0.9804
141,2023-09-15,0.9841
142,2023-09-18,0.9564
143,2023-09-19,0.9426
144,2023-09-20,0.9233
145,2023-09-21,0.9161
146,2023-09-22,0.9441
147,2023-09-25,0.9428
148,2023-09-26,0.9393
149,2023-09-27,0.9416
150,2023-09-28,0.998
151,2023-10-09,0.9946
152,2023-10-10,1.0018
153,2023-10-11,1.0077
154,2023-10-12,1.046
155,2023-10-13,1.0329
156,2023-10-16,1.0129
157,2023-10-17,1.033
158,2023-10-18,1.0177
159,2023-10-19,1.0159
160,2023-10-20,0.9981
161,2023-10-23,0.9757
162,2023-10-24,1.0287
163,2023-10-25,1.0152
164,2023-10-26,1.0263
165,2023-10-27,1.0355
166,2023-10-30,1.0514
167,2023-10-31,1.0568
168,2023-11-01,1.0397
169,2023-11-02,1.0047
170,2023-11-03,1.0294
171,2023-11-06,1.0325
172,2023-11-07,1.0334
173,2023-11-08,1.077
174,2023-11-09,1.0612
175,2023-11-10,1.07
176,2023-11-13,1.065
177,2023-11-14,1.0743
178,2023-11-15,1.0518
179,2023-11-16,1.032
180,2023-11-17,1.0425
181,2023-11-20,1.0385
182,2023-11-21,1.0218
183,2023-11-22,1.0033
184,2023-11-23,1.0183
185,2023-11-24,1.0039
186,2023-11-27,1.0383
187,2023-11-28,1.0403
188,2023-11-29,1.0411
189,2023-11-30,1.047
190,2023-12-01,1.0408
191,2023-12-04,1.0302
192,2023-12-05,1.0168
193,2023-12-06,1.0264
194,2023-12-07,1.0068
195,2023-12-08,1.027
196,2023-12-11,1.0478
197,2023-12-12,1.0373
198,2023-12-13,1.0263
199,2023-12-14,1.0094
