,date,value
0,2020-10-12,1.0
1,2020-10-16,0.9994
2,2020-10-23,1.0001
3,2020-10-30,1.001
4,2020-11-06,1.0279
5,2020-11-13,1.0199
6,2020-11-16,1.0218
7,2020-11-17,1.0199
8,2020-11-18,1.0242
9,2020-11-19,1.0277
10,2020-11-20,1.0323
11,2020-11-23,1.0366
12,2020-11-24,1.0331
13,2020-11-25,1.025
14,2020-11-26,1.0253
15,2020-11-27,1.0293
16,2020-11-30,1.0206
17,2020-12-01,1.031
18,2020-12-02,1.0206
19,2020-12-03,1.0202
20,2020-12-04,1.0223
21,2020-12-07,1.015
22,2020-12-08,1.0196
23,2020-12-09,1.0103
24,2020-12-10,1.0106
25,2020-12-11,1.011
26,2020-12-14,1.0165
27,2020-12-15,1.0216
28,2020-12-16,1.0281
29,2020-12-17,1.0332
30,2020-12-18,1.0338
31,2020-12-21,1.0445
32,2020-12-22,1.0362
33,2020-12-23,1.0608
34,2020-12-24,1.0609
35,2020-12-25,1.0631
36,2020-12-28,1.0689
37,2020-12-29,1.0668
38,2020-12-30,1.0983
39,2020-12-31,1.1184
40,2021-01-04,1.1434
41,2021-01-05,1.153
42,2021-01-06,1.1565
43,2021-01-07,1.1697
44,2021-01-08,1.1951
45,2021-01-11,1.2143
46,2021-01-12,1.2295
47,2021-01-13,1.2152
48,2021-01-14,1.2093
49,2021-01-15,1.2001
50,2021-01-18,1.2351
51,2021-01-19,1.2461
52,2021-01-20,1.27
53,2021-01-21,1.2863
54,2021-01-22,1.2973
55,2021-01-25,1.3356
56,2021-01-26,1.2886
57,2021-01-27,1.2806
58,2021-01-28,1.2359
59,2021-01-29,1.2393
60,2021-02-01,1.2786
61,2021-02-02,1.3036
62,2021-02-03,1.3065
63,2021-02-04,1.2848
64,2021-02-05,1.2853
65,2021-02-08,1.3019
66,2021-02-09,1.3326
67,2021-02-10,1.3736
68,2021-02-18,1.3445
69,2021-02-19,1.3393
70,2021-02-22,1.2706
71,2021-02-23,1.2603
72,2021-02-24,1.2159
73,2021-02-25,1.2225
74,2021-02-26,1.1838
75,2021-03-01,1.2183
76,2021-03-02,1.2062
77,2021-03-03,1.2253
78,2021-03-04,1.1715
79,2021-03-05,1.1687
80,2021-03-08,1.1116
81,2021-03-09,1.1001
82,2021-03-10,1.1183
83,2021-03-11,1.148
84,2021-03-12,1.1261
85,2021-03-15,1.1015
86,2021-03-16,1.1177
87,2021-03-17,1.1179
88,2021-03-18,1.1384
89,2021-03-19,1.1108
90,2021-03-22,1.1072
91,2021-03-23,1.0905
92,2021-03-24,1.0646
93,2021-03-25,1.0686
94,2021-03-26,1.0944
95,2021-03-29,1.0762
96,2021-03-30,1.0939
97,2021-03-31,1.0896
98,2021-04-01,1.1338
99,2021-04-02,1.1393
100,2021-04-06,1.1348
101,2021-04-07,1.1154
102,2021-04-08,1.1228
103,2021-04-09,1.1079
104,2021-04-12,1.0847
105,2021-04-13,1.076
106,2021-04-14,1.0977
107,2021-04-15,1.1009
108,2021-04-16,1.1108
109,2021-04-19,1.1509
110,2021-04-20,1.1548
111,2021-04-21,1.1391
112,2021-04-22,1.1502
113,2021-04-23,1.1625
114,2021-04-26,1.1546
115,2021-04-27,1.1569
116,2021-04-28,1.17
117,2021-04-29,1.1673
118,2021-04-30,1.1557
119,2021-05-06,1.1284
120,2021-05-07,1.0972
121,2021-05-10,1.0905
122,2021-05-11,1.072
123,2021-05-12,1.0847
124,2021-05-13,1.0633
125,2021-05-14,1.0755
126,2021-05-17,1.1045
127,2021-05-18,1.112
128,2021-05-19,1.1112
129,2021-05-20,1.1236
130,2021-05-21,1.1208
131,2021-05-24,1.1251
132,2021-05-25,1.1521
133,2021-05-26,1.1513
134,2021-05-27,1.1574
135,2021-05-28,1.1505
136,2021-05-31,1.1734
137,2021-06-01,1.1774
138,2021-06-02,1.1648
139,2021-06-03,1.1476
140,2021-06-04,1.1602
141,2021-06-07,1.1485
142,2021-06-08,1.1385
143,2021-06-09,1.1389
144,2021-06-10,1.1471
145,2021-06-11,1.1551
146,2021-06-15,1.1568
147,2021-06-16,1.1195
148,2021-06-17,1.142
149,2021-06-18,1.1707
150,2021-06-21,1.1734
