,date,value
0,2025-10-28,1.0
1,2025-10-31,0.9999
2,2025-11-07,0.9993
3,2025-11-11,0.9987
4,2025-11-12,0.9981
5,2025-11-13,0.9985
6,2025-11-14,0.9975
7,2025-11-17,0.9978
8,2025-11-18,0.9976
9,2025-11-19,0.9969
10,2025-11-20,0.996
11,2025-11-21,0.9945
12,2025-11-24,0.9956
13,2025-11-25,0.9959
14,2025-11-26,0.9958
15,2025-11-27,0.9957
16,2025-11-28,0.9966
17,2025-12-01,0.9987
18,2025-12-02,0.9954
19,2025-12-03,0.9934
20,2025-12-04,0.9986
21,2025-12-05,1.003
22,2025-12-08,1.0067
23,2025-12-09,0.9984
24,2025-12-10,1.0032
25,2025-12-11,0.9859
26,2025-12-12,0.9923
27,2025-12-15,0.9749
28,2025-12-16,0.9574
29,2025-12-17,0.971
30,2025-12-18,0.9626
31,2025-12-19,0.9709
32,2025-12-22,0.9841
33,2025-12-23,0.9764
34,2025-12-24,0.9866
35,2025-12-25,1.0126
36,2025-12-26,1.0135
37,2025-12-29,1.0204
38,2025-12-30,1.0506
39,2025-12-31,1.0451
40,2026-01-05,1.0634
41,2026-01-06,1.0668
42,2026-01-07,1.0589
43,2026-01-08,1.0688
44,2026-01-09,1.0873
45,2026-01-12,1.1164
46,2026-01-13,1.1048
47,2026-01-14,1.1061
48,2026-01-15,1.1057
49,2026-01-16,1.1266
50,2026-01-19,1.1311
51,2026-01-20,1.1183
52,2026-01-21,1.1355
53,2026-01-22,1.1325
54,2026-01-23,1.1486
55,2026-01-26,1.1208
56,2026-01-27,1.125
57,2026-01-28,1.1038
58,2026-01-29,1.0924
59,2026-01-30,1.0873
60,2026-02-02,1.0646
61,2026-02-03,1.0921
62,2026-02-04,1.0846
63,2026-02-05,1.0688
64,2026-02-06,1.0742
65,2026-02-09,1.0904
66,2026-02-10,1.1005
67,2026-02-11,1.0885
68,2026-02-12,1.1017
69,2026-02-13,1.1021
70,2026-02-24,1.0967
