,date,value
0,2019-11-20,1.0
1,2019-11-22,1.0
2,2019-11-29,0.9997
3,2019-12-06,1.0043
4,2019-12-13,1.0117
5,2019-12-20,1.0125
6,2019-12-27,1.0135
7,2019-12-31,1.0276
8,2020-01-03,1.0404
9,2020-01-06,1.0482
10,2020-01-07,1.058
11,2020-01-08,1.0445
12,2020-01-09,1.073
13,2020-01-10,1.0699
14,2020-01-13,1.0856
15,2020-01-14,1.0806
16,2020-01-15,1.0805
17,2020-01-16,1.0834
18,2020-01-17,1.0839
19,2020-01-20,1.1139
20,2020-01-21,1.1039
21,2020-01-22,1.1277
22,2020-01-23,1.0938
23,2020-02-03,1.0281
24,2020-02-04,1.0899
25,2020-02-05,1.1311
26,2020-02-06,1.1702
27,2020-02-07,1.1648
28,2020-02-10,1.1839
29,2020-02-11,1.1744
30,2020-02-12,1.2085
31,2020-02-13,1.1978
32,2020-02-14,1.2012
33,2020-02-17,1.2434
34,2020-02-18,1.256
35,2020-02-19,1.229
36,2020-02-20,1.2603
37,2020-02-21,1.2881
38,2020-02-24,1.3101
39,2020-02-25,1.3303
40,2020-02-26,1.2651
41,2020-02-27,1.271
42,2020-02-28,1.2001
43,2020-03-02,1.235
44,2020-03-03,1.259
45,2020-03-04,1.2554
46,2020-03-05,1.2715
47,2020-03-06,1.263
48,2020-03-09,1.2063
49,2020-03-10,1.2426
50,2020-03-11,1.216
51,2020-03-12,1.187
52,2020-03-13,1.1815
53,2020-03-16,1.111
54,2020-03-17,1.1164
55,2020-03-18,1.094
56,2020-03-19,1.0978
57,2020-03-20,1.1099
58,2020-03-23,1.0606
59,2020-03-24,1.0859
60,2020-03-25,1.1259
61,2020-03-26,1.1232
62,2020-03-27,1.1108
63,2020-03-30,1.0854
64,2020-03-31,1.0865
65,2020-04-01,1.0848
66,2020-04-02,1.1156
67,2020-04-03,1.107
68,2020-04-07,1.142
69,2020-04-08,1.1399
70,2020-04-09,1.1591
71,2020-04-10,1.1295
72,2020-04-13,1.1192
73,2020-04-14,1.1578
74,2020-04-15,1.154
75,2020-04-16,1.1716
76,2020-04-17,1.1799
77,2020-04-20,1.1931
78,2020-04-21,1.1815
79,2020-04-22,1.1904
80,2020-04-23,1.1832
81,2020-04-24,1.1672
82,2020-04-27,1.181
83,2020-04-28,1.1953
84,2020-04-29,1.1932
85,2020-04-30,1.2156
86,2020-05-06,1.2419
87,2020-05-07,1.2367
88,2020-05-08,1.2453
89,2020-05-11,1.2313
90,2020-05-12,1.241
91,2020-05-13,1.2528
92,2020-05-14,1.2427
93,2020-05-15,1.2495
94,2020-05-18,1.2377
95,2020-05-19,1.2546
96,2020-05-20,1.2414
97,2020-05-21,1.235
98,2020-05-22,1.2031
99,2020-05-25,1.2091
100,2020-05-26,1.2435
101,2020-05-27,1.2225
102,2020-05-28,1.2152
103,2020-05-29,1.2274
104,2020-06-01,1.2702
105,2020-06-02,1.2625
106,2020-06-03,1.2601
107,2020-06-04,1.2641
108,2020-06-05,1.2743
109,2020-06-08,1.2671
110,2020-06-09,1.2847
111,2020-06-10,1.2998
112,2020-06-11,1.304
113,2020-06-12,1.3144
114,2020-06-15,1.3203
115,2020-06-16,1.3432
116,2020-06-17,1.3432
117,2020-06-18,1.3494
118,2020-06-19,1.3863
119,2020-06-22,1.4041
120,2020-06-23,1.4268
121,2020-06-24,1.4225
122,2020-06-29,1.4142
123,2020-06-30,1.4543
124,2020-07-01,1.4438
125,2020-07-02,1.45
126,2020-07-03,1.4702
127,2020-07-06,1.5115
128,2020-07-07,1.5481
129,2020-07-08,1.5893
130,2020-07-09,1.6465
131,2020-07-10,1.66
132,2020-07-13,1.73
133,2020-07-14,1.7161
134,2020-07-15,1.689
135,2020-07-16,1.5971
136,2020-07-17,1.6036
137,2020-07-20,1.6285
138,2020-07-21,1.6556
139,2020-07-22,1.6749
140,2020-07-23,1.7022
141,2020-07-24,1.5971
142,2020-07-27,1.6009
143,2020-07-28,1.6194
144,2020-07-29,1.6863
145,2020-07-30,1.6747
146,2020-07-31,1.7142
147,2020-08-03,1.7585
148,2020-08-04,1.7324
149,2020-08-05,1.7517
150,2020-08-06,1.7182
151,2020-08-07,1.6811
152,2020-08-10,1.6657
153,2020-08-11,1.6378
154,2020-08-12,1.6085
155,2020-08-13,1.5988
156,2020-08-14,1.6288
157,2020-08-17,1.6437
158,2020-08-18,1.644
159,2020-08-19,1.5836
160,2020-08-20,1.5742
161,2020-08-21,1.6026
162,2020-08-24,1.6298
163,2020-08-25,1.6435
164,2020-08-26,1.6079
165,2020-08-27,1.6373
166,2020-08-28,1.6746
167,2020-08-31,1.6549
168,2020-09-01,1.669
169,2020-09-02,1.6774
170,2020-09-03,1.6649
171,2020-09-04,1.6575
172,2020-09-07,1.602
173,2020-09-08,1.6095
174,2020-09-09,1.5332
175,2020-09-10,1.5149
176,2020-09-11,1.5467
177,2020-09-14,1.5695
178,2020-09-15,1.5838
179,2020-09-16,1.5613
180,2020-09-17,1.5674
181,2020-09-18,1.5906
182,2020-09-21,1.5748
183,2020-09-22,1.5719
184,2020-09-23,1.5989
185,2020-09-24,1.5631
186,2020-09-25,1.567
187,2020-09-28,1.5606
188,2020-09-29,1.5833
189,2020-09-30,1.5925
190,2020-10-09,1.6594
191,2020-10-12,1.7224
192,2020-10-13,1.7236
193,2020-10-14,1.715
194,2020-10-15,1.7037
195,2020-10-16,1.6932
196,2020-10-19,1.673
197,2020-10-20,1.7108
198,2020-10-21,1.6866
199,2020-10-22,1.6699
200,2020-10-23,1.6215
201,2020-10-26,1.6317
202,2020-10-27,1.6535
203,2020-10-28,1.6702
204,2020-10-29,1.6908
205,2020-10-30,1.6683
206,2020-11-02,1.7046
207,2020-11-03,1.7262
208,2020-11-04,1.7361
209,2020-11-05,1.7607
210,2020-11-06,1.7319
211,2020-11-09,1.787
212,2020-11-10,1.7573
213,2020-11-11,1.6982
214,2020-11-12,1.7108
215,2020-11-13,1.7114
216,2020-11-16,1.7142
217,2020-11-17,1.6784
218,2020-11-18,1.6547
219,2020-11-19,1.6642
220,2020-11-20,1.6801
221,2020-11-23,1.6991
222,2020-11-24,1.6911
223,2020-11-25,1.6515
224,2020-11-26,1.647
225,2020-11-27,1.653
226,2020-11-30,1.665
227,2020-12-01,1.7068
228,2020-12-02,1.6924
229,2020-12-03,1.7107
230,2020-12-04,1.7226
231,2020-12-07,1.7156
232,2020-12-08,1.7322
233,2020-12-09,1.7046
234,2020-12-10,1.7183
235,2020-12-11,1.7051
236,2020-12-14,1.7226
237,2020-12-15,1.7513
238,2020-12-16,1.7542
239,2020-12-17,1.7698
240,2020-12-18,1.7745
241,2020-12-21,1.8437
242,2020-12-22,1.8013
243,2020-12-23,1.8218
244,2020-12-24,1.8102
245,2020-12-25,1.8255
246,2020-12-28,1.8248
247,2020-12-29,1.8016
248,2020-12-30,1.864
249,2020-12-31,1.9084
250,2021-01-04,1.9785
251,2021-01-05,1.9872
252,2021-01-06,2.0067
253,2021-01-07,2.0393
254,2021-01-08,2.0323
255,2021-01-11,1.9949
256,2021-01-12,2.0598
257,2021-01-13,2.0342
258,2021-01-14,2.0028
259,2021-01-15,2.004
260,2021-01-18,2.0448
261,2021-01-19,2.0005
262,2021-01-20,2.0805
263,2021-01-21,2.1327
264,2021-01-22,2.1802
265,2021-01-25,2.1746
266,2021-01-26,2.1108
267,2021-01-27,2.1335
268,2021-01-28,2.0567
269,2021-01-29,2.0294
270,2021-02-01,2.0501
271,2021-02-02,2.0999
272,2021-02-03,2.105
273,2021-02-04,2.098
274,2021-02-05,2.0962
275,2021-02-08,2.1542
276,2021-02-09,2.1881
277,2021-02-10,2.2403
278,2021-02-18,2.1735
279,2021-02-19,2.1416
280,2021-02-22,2.045
281,2021-02-23,2.035
282,2021-02-24,1.9618
283,2021-02-25,1.9433
284,2021-02-26,1.9042
285,2021-03-01,1.96
286,2021-03-02,1.9414
287,2021-03-03,1.9578
288,2021-03-04,1.8562
289,2021-03-05,1.8682
290,2021-03-08,1.7764
291,2021-03-09,1.7166
292,2021-03-10,1.7549
293,2021-03-11,1.8042
294,2021-03-12,1.8175
295,2021-03-15,1.7352
296,2021-03-16,1.7514
297,2021-03-17,1.7713
298,2021-03-18,1.8016
299,2021-03-19,1.7447
300,2021-03-22,1.76
301,2021-03-23,1.7387
302,2021-03-24,1.7176
303,2021-03-25,1.7265
304,2021-03-26,1.7863
305,2021-03-29,1.7778
306,2021-03-30,1.8045
307,2021-03-31,1.7987
308,2021-04-01,1.8354
309,2021-04-02,1.8587
310,2021-04-06,1.8457
311,2021-04-07,1.8264
312,2021-04-08,1.8381
313,2021-04-09,1.8074
314,2021-04-12,1.7672
315,2021-04-13,1.7855
316,2021-04-14,1.8316
317,2021-04-15,1.8225
318,2021-04-16,1.8147
319,2021-04-19,1.8947
320,2021-04-20,1.8901
321,2021-04-21,1.9047
322,2021-04-22,1.9202
323,2021-04-23,1.9684
324,2021-04-26,1.9523
325,2021-04-27,1.9658
326,2021-04-28,2.0142
327,2021-04-29,2.0174
328,2021-04-30,2.0512
329,2021-05-06,1.997
330,2021-05-07,1.9248
331,2021-05-10,1.9342
332,2021-05-11,1.9307
333,2021-05-12,1.9551
334,2021-05-13,1.9442
335,2021-05-14,2.0062
336,2021-05-17,2.0647
337,2021-05-18,2.0479
338,2021-05-19,2.0683
339,2021-05-20,2.0821
340,2021-05-21,2.062
341,2021-05-24,2.0787
342,2021-05-25,2.1388
343,2021-05-26,2.1177
344,2021-05-27,2.1334
345,2021-05-28,2.147
346,2021-05-31,2.2065
347,2021-06-01,2.1978
348,2021-06-02,2.1588
349,2021-06-03,2.1275
350,2021-06-04,2.1555
351,2021-06-07,2.1391
352,2021-06-08,2.1266
353,2021-06-09,2.1241
354,2021-06-10,2.1814
355,2021-06-11,2.1962
356,2021-06-15,2.1752
357,2021-06-16,2.0808
358,2021-06-17,2.1221
359,2021-06-18,2.1624
360,2021-06-21,2.1832
361,2021-06-22,2.1913
362,2021-06-23,2.217
363,2021-06-24,2.189
364,2021-06-25,2.2404
365,2021-06-28,2.2878
366,2021-06-29,2.287
367,2021-06-30,2.3395
368,2021-07-01,2.3291
369,2021-07-02,2.2492
370,2021-07-05,2.2608
371,2021-07-06,2.2187
372,2021-07-07,2.3022
373,2021-07-08,2.3214
374,2021-07-09,2.3044
375,2021-07-12,2.3829
376,2021-07-13,2.3649
377,2021-07-14,2.3501
378,2021-07-15,2.3848
379,2021-07-16,2.3095
380,2021-07-19,2.3223
381,2021-07-20,2.3329
382,2021-07-21,2.4052
383,2021-07-22,2.3929
384,2021-07-23,2.3401
385,2021-07-26,2.2714
386,2021-07-27,2.1757
387,2021-07-28,2.2153
388,2021-07-29,2.335
389,2021-07-30,2.3202
390,2021-08-02,2.3464
391,2021-08-03,2.3293
392,2021-08-04,2.3932
393,2021-08-05,2.374
394,2021-08-06,2.3493
395,2021-08-09,2.3145
396,2021-08-10,2.317
397,2021-08-11,2.2998
398,2021-08-12,2.2631
399,2021-08-13,2.235
400,2021-08-16,2.1996
401,2021-08-17,2.152
402,2021-08-18,2.1717
403,2021-08-19,2.1882
404,2021-08-20,2.1248
405,2021-08-23,2.1914
406,2021-08-24,2.2223
407,2021-08-25,2.2336
408,2021-08-26,2.1797
409,2021-08-27,2.174
410,2021-08-30,2.1851
411,2021-08-31,2.1463
412,2021-09-01,2.1334
413,2021-09-02,2.1027
414,2021-09-03,2.0785
415,2021-09-06,2.1654
416,2021-09-07,2.1849
417,2021-09-08,2.1666
418,2021-09-09,2.1698
419,2021-09-10,2.1769
420,2021-09-13,2.1563
421,2021-09-14,2.1895
422,2021-09-15,2.1616
423,2021-09-16,2.1105
424,2021-09-17,2.1575
425,2021-09-22,2.1374
426,2021-09-23,2.146
427,2021-09-24,2.1621
428,2021-09-27,2.1768
429,2021-09-28,2.1632
430,2021-09-29,2.1405
431,2021-09-30,2.1895
432,2021-10-08,2.1841
433,2021-10-11,2.1483
434,2021-10-12,2.1076
435,2021-10-13,2.1551
436,2021-10-14,2.158
437,2021-10-15,2.2058
438,2021-10-18,2.2106
439,2021-10-19,2.221
440,2021-10-20,2.2113
441,2021-10-21,2.2141
442,2021-10-22,2.2174
443,2021-10-25,2.2557
444,2021-10-26,2.2509
445,2021-10-27,2.2445
446,2021-10-28,2.228
447,2021-10-29,2.2759
448,2021-11-01,2.2598
449,2021-11-02,2.2656
450,2021-11-03,2.2491
451,2021-11-04,2.2718
452,2021-11-05,2.2669
453,2021-11-08,2.2923
454,2021-11-09,2.3083
455,2021-11-10,2.3027
456,2021-11-11,2.3273
457,2021-11-12,2.3172
458,2021-11-15,2.2949
459,2021-11-16,2.2909
460,2021-11-17,2.3096
461,2021-11-18,2.2813
462,2021-11-19,2.3043
463,2021-11-22,2.3679
464,2021-11-23,2.3589
465,2021-11-24,2.349
466,2021-11-25,2.3459
467,2021-11-26,2.3447
468,2021-11-29,2.3677
469,2021-11-30,2.3601
470,2021-12-01,2.3398
471,2021-12-02,2.3433
472,2021-12-03,2.3486
473,2021-12-06,2.2989
474,2021-12-07,2.271
475,2021-12-08,2.306
476,2021-12-09,2.3273
477,2021-12-10,2.3342
478,2021-12-13,2.3551
479,2021-12-14,2.3506
480,2021-12-15,2.3291
481,2021-12-16,2.35
482,2021-12-17,2.3114
483,2021-12-20,2.2394
484,2021-12-21,2.247
485,2021-12-22,2.257
486,2021-12-23,2.2608
487,2021-12-24,2.2026
488,2021-12-27,2.2038
489,2021-12-28,2.2273
490,2021-12-29,2.1926
491,2021-12-30,2.2194
492,2021-12-31,2.2169
493,2022-01-04,2.1573
494,2022-01-05,2.0969
495,2022-01-06,2.0736
496,2022-01-07,2.0559
497,2022-01-10,2.0465
498,2022-01-11,2.0259
499,2022-01-12,2.0808
500,2022-01-13,2.0519
501,2022-01-14,2.0748
502,2022-01-17,2.1052
503,2022-01-18,2.0884
504,2022-01-19,2.0412
505,2022-01-20,2.0395
506,2022-01-21,2.0236
507,2022-01-24,2.0416
508,2022-01-25,1.995
509,2022-01-26,2.0159
510,2022-01-27,1.9495
511,2022-01-28,1.9504
512,2022-02-07,1.9547
513,2022-02-08,1.8989
514,2022-02-09,1.9212
515,2022-02-10,1.8779
516,2022-02-11,1.8234
517,2022-02-14,1.8141
518,2022-02-15,1.8716
519,2022-02-16,1.8768
520,2022-02-17,1.8941
521,2022-02-18,1.8796
522,2022-02-21,1.8577
523,2022-02-22,1.8354
524,2022-02-23,1.891
525,2022-02-24,1.8542
526,2022-02-25,1.9042
527,2022-02-28,1.9193
528,2022-03-01,1.9207
529,2022-03-02,1.8831
530,2022-03-03,1.856
531,2022-03-04,1.8214
