,date,value
0,2020-06-02,1.0
1,2020-06-05,1.0021
2,2020-06-08,0.9987
3,2020-06-09,1.0025
4,2020-06-10,1.0006
5,2020-06-11,0.9945
6,2020-06-12,0.9854
7,2020-06-15,0.9685
8,2020-06-16,0.98
9,2020-06-17,0.9713
10,2020-06-18,0.9906
11,2020-06-19,1.0068
12,2020-06-22,1.047
13,2020-06-23,1.0498
14,2020-06-24,1.0654
15,2020-06-29,1.0459
16,2020-06-30,1.069
17,2020-07-01,1.083
18,2020-07-02,1.1074
19,2020-07-03,1.1143
20,2020-07-06,1.1973
21,2020-07-07,1.2159
22,2020-07-08,1.2454
23,2020-07-09,1.291
24,2020-07-10,1.3028
25,2020-07-13,1.3489
26,2020-07-14,1.3335
27,2020-07-15,1.2604
28,2020-07-16,1.1564
29,2020-07-17,1.1438
30,2020-07-20,1.1896
31,2020-07-21,1.1901
32,2020-07-22,1.1961
33,2020-07-23,1.1918
34,2020-07-24,1.1237
35,2020-07-27,1.1284
36,2020-07-28,1.127
37,2020-07-29,1.1816
38,2020-07-30,1.1744
39,2020-07-31,1.2022
40,2020-08-03,1.2469
41,2020-08-04,1.2133
42,2020-08-05,1.2344
43,2020-08-06,1.233
44,2020-08-07,1.1957
45,2020-08-10,1.1965
46,2020-08-11,1.169
47,2020-08-12,1.1719
48,2020-08-13,1.1633
49,2020-08-14,1.177
50,2020-08-17,1.1988
51,2020-08-18,1.1933
52,2020-08-19,1.1508
53,2020-08-20,1.1396
54,2020-08-21,1.1325
55,2020-08-24,1.1402
56,2020-08-25,1.1282
57,2020-08-26,1.0896
58,2020-08-27,1.1139
59,2020-08-28,1.1217
60,2020-08-31,1.112
61,2020-09-01,1.1115
62,2020-09-02,1.0939
63,2020-09-03,1.0939
64,2020-09-04,1.1146
65,2020-09-07,1.0817
66,2020-09-08,1.0621
67,2020-09-09,1.0099
68,2020-09-10,1.0027
69,2020-09-11,1.0349
70,2020-09-14,1.0472
71,2020-09-15,1.0527
72,2020-09-16,1.0478
73,2020-09-17,1.0636
74,2020-09-18,1.0717
75,2020-09-21,1.0705
76,2020-09-22,1.0478
77,2020-09-23,1.0603
78,2020-09-24,1.0367
79,2020-09-25,1.0266
80,2020-09-28,1.0187
81,2020-09-29,1.0315
82,2020-09-30,1.0279
83,2020-10-09,1.0598
84,2020-10-12,1.1045
85,2020-10-13,1.101
86,2020-10-14,1.0773
87,2020-10-15,1.0699
88,2020-10-16,1.0572
89,2020-10-19,1.0458
90,2020-10-20,1.0526
91,2020-10-21,1.023
92,2020-10-22,1.0212
93,2020-10-23,1.0011
94,2020-10-26,1.0011
95,2020-10-27,1.0059
96,2020-10-28,1.007
97,2020-10-29,1.0037
98,2020-10-30,1.0261
99,2020-11-02,1.045
100,2020-11-03,1.0589
101,2020-11-04,1.0518
102,2020-11-05,1.0658
103,2020-11-06,1.0821
104,2020-11-09,1.1632
105,2020-11-10,1.1322
106,2020-11-11,1.0768
107,2020-11-12,1.0782
108,2020-11-13,1.0864
109,2020-11-16,1.0744
110,2020-11-17,1.0848
111,2020-11-18,1.0805
112,2020-11-19,1.0823
113,2020-11-20,1.0818
114,2020-11-23,1.0853
115,2020-11-24,1.0936
116,2020-11-25,1.0881
117,2020-11-26,1.0759
118,2020-11-27,1.0791
119,2020-11-30,1.0865
120,2020-12-01,1.1035
121,2020-12-02,1.1249
122,2020-12-03,1.1133
123,2020-12-04,1.1198
124,2020-12-07,1.1221
125,2020-12-08,1.1153
126,2020-12-09,1.0833
127,2020-12-10,1.096
128,2020-12-11,1.0821
129,2020-12-14,1.0978
130,2020-12-15,1.087
131,2020-12-16,1.0732
132,2020-12-17,1.0787
133,2020-12-18,1.0714
134,2020-12-21,1.0962
135,2020-12-22,1.0585
136,2020-12-23,1.0909
137,2020-12-24,1.0876
138,2020-12-25,1.0797
139,2020-12-28,1.0655
140,2020-12-29,1.0694
141,2020-12-30,1.0826
142,2020-12-31,1.0968
143,2021-01-04,1.126
144,2021-01-05,1.18
145,2021-01-06,1.1633
146,2021-01-07,1.1729
147,2021-01-08,1.1699
148,2021-01-11,1.1882
149,2021-01-12,1.2167
150,2021-01-13,1.2388
151,2021-01-14,1.2349
152,2021-01-15,1.2118
153,2021-01-18,1.2799
154,2021-01-19,1.2606
155,2021-01-20,1.2713
156,2021-01-21,1.2721
157,2021-01-22,1.2575
158,2021-01-25,1.2429
159,2021-01-26,1.2165
160,2021-01-27,1.2104
161,2021-01-28,1.1617
162,2021-01-29,1.1399
163,2021-02-01,1.1459
164,2021-02-02,1.1553
165,2021-02-03,1.1149
166,2021-02-04,1.1134
167,2021-02-05,1.087
168,2021-02-08,1.1165
169,2021-02-09,1.1315
170,2021-02-10,1.1399
171,2021-02-18,1.1656
172,2021-02-19,1.1603
173,2021-02-22,1.1321
174,2021-02-23,1.1201
175,2021-02-24,1.1285
176,2021-02-25,1.1195
177,2021-02-26,1.104
178,2021-03-01,1.1425
179,2021-03-02,1.1539
180,2021-03-03,1.1551
181,2021-03-04,1.1162
182,2021-03-05,1.1074
183,2021-03-08,1.0611
184,2021-03-09,1.0097
185,2021-03-10,1.0107
186,2021-03-11,1.0413
187,2021-03-12,1.0256
188,2021-03-15,0.9836
189,2021-03-16,0.9777
190,2021-03-17,1.0058
191,2021-03-18,1.0068
192,2021-03-19,0.9988
193,2021-03-22,1.0009
194,2021-03-23,1.0008
195,2021-03-24,0.979
196,2021-03-25,0.9872
197,2021-03-26,1.0059
198,2021-03-29,1.0106
199,2021-03-30,1.0126
200,2021-03-31,1.0103
201,2021-04-01,1.0493
202,2021-04-02,1.1008
203,2021-04-06,1.0944
204,2021-04-07,1.0941
205,2021-04-08,1.0914
206,2021-04-09,1.0825
207,2021-04-12,1.0645
208,2021-04-13,1.0578
209,2021-04-14,1.0619
210,2021-04-15,1.0556
211,2021-04-16,1.0501
212,2021-04-19,1.075
213,2021-04-20,1.064
214,2021-04-21,1.0678
215,2021-04-22,1.0786
216,2021-04-23,1.0828
217,2021-04-26,1.0856
218,2021-04-27,1.0733
219,2021-04-28,1.0942
220,2021-04-29,1.1021
221,2021-04-30,1.1077
222,2021-05-06,1.0932
223,2021-05-07,1.0449
224,2021-05-10,1.0237
225,2021-05-11,1.0325
226,2021-05-12,1.0478
227,2021-05-13,1.04
228,2021-05-14,1.0646
229,2021-05-17,1.0763
230,2021-05-18,1.0682
231,2021-05-19,1.0834
232,2021-05-20,1.0817
233,2021-05-21,1.0718
234,2021-05-24,1.0812
235,2021-05-25,1.1148
236,2021-05-26,1.1022
237,2021-05-27,1.1466
238,2021-05-28,1.136
239,2021-05-31,1.1627
240,2021-06-01,1.175
241,2021-06-02,1.1618
242,2021-06-03,1.1451
243,2021-06-04,1.1692
244,2021-06-07,1.1944
245,2021-06-08,1.1876
246,2021-06-09,1.2022
247,2021-06-10,1.2185
248,2021-06-11,1.1997
249,2021-06-15,1.215
250,2021-06-16,1.1788
251,2021-06-17,1.2702
252,2021-06-18,1.2801
253,2021-06-21,1.2871
254,2021-06-22,1.2852
255,2021-06-23,1.3432
256,2021-06-24,1.3216
257,2021-06-25,1.3376
258,2021-06-28,1.3594
259,2021-06-29,1.3458
260,2021-06-30,1.4071
261,2021-07-01,1.3742
262,2021-07-02,1.3529
263,2021-07-05,1.4073
264,2021-07-06,1.38
265,2021-07-07,1.4187
266,2021-07-08,1.4581
267,2021-07-09,1.4369
268,2021-07-12,1.4624
269,2021-07-13,1.3949
270,2021-07-14,1.3806
271,2021-07-15,1.3959
272,2021-07-16,1.3737
273,2021-07-19,1.3729
274,2021-07-20,1.4028
275,2021-07-21,1.4581
276,2021-07-22,1.492
277,2021-07-23,1.4927
278,2021-07-26,1.5095
279,2021-07-27,1.5083
280,2021-07-28,1.4901
281,2021-07-29,1.5901
282,2021-07-30,1.6268
283,2021-08-02,1.5904
284,2021-08-03,1.5054
285,2021-08-04,1.5775
286,2021-08-05,1.5736
287,2021-08-06,1.5617
288,2021-08-09,1.5203
289,2021-08-10,1.512
290,2021-08-11,1.5187
291,2021-08-12,1.5252
292,2021-08-13,1.4658
293,2021-08-16,1.4754
294,2021-08-17,1.4166
295,2021-08-18,1.4185
296,2021-08-19,1.4507
297,2021-08-20,1.4646
298,2021-08-23,1.5057
299,2021-08-24,1.5295
300,2021-08-25,1.5233
301,2021-08-26,1.4945
302,2021-08-27,1.5093
303,2021-08-30,1.4981
304,2021-08-31,1.4584
305,2021-09-01,1.4429
306,2021-09-02,1.4034
307,2021-09-03,1.3937
308,2021-09-06,1.4195
309,2021-09-07,1.4232
310,2021-09-08,1.4072
311,2021-09-09,1.4005
312,2021-09-10,1.4555
313,2021-09-13,1.4004
314,2021-09-14,1.4052
315,2021-09-15,1.3995
316,2021-09-16,1.3526
317,2021-09-17,1.3597
318,2021-09-22,1.3739
319,2021-09-23,1.3983
320,2021-09-24,1.3906
321,2021-09-27,1.3875
322,2021-09-28,1.3874
323,2021-09-29,1.3542
324,2021-09-30,1.3644
325,2021-10-08,1.3585
326,2021-10-11,1.3482
327,2021-10-12,1.3075
328,2021-10-13,1.3423
329,2021-10-14,1.3502
330,2021-10-15,1.3928
331,2021-10-18,1.3777
332,2021-10-19,1.3821
333,2021-10-20,1.3802
334,2021-10-21,1.3553
335,2021-10-22,1.3865
336,2021-10-25,1.4004
337,2021-10-26,1.4
338,2021-10-27,1.3912
339,2021-10-28,1.3898
340,2021-10-29,1.4207
341,2021-11-01,1.4296
342,2021-11-02,1.4594
343,2021-11-03,1.4468
344,2021-11-04,1.4685
345,2021-11-05,1.4703
346,2021-11-08,1.4507
347,2021-11-09,1.4795
348,2021-11-10,1.4812
349,2021-11-11,1.512
350,2021-11-12,1.5079
351,2021-11-15,1.4787
352,2021-11-16,1.4581
353,2021-11-17,1.4632
354,2021-11-18,1.447
355,2021-11-19,1.4536
356,2021-11-22,1.5148
