,date,value
0,2012-03-29,1.0
1,2012-03-30,1.0
2,2012-04-06,1.0
3,2012-04-13,1.0
4,2012-04-20,1.002
5,2012-04-26,1.002
6,2012-04-27,1.002
7,2012-05-02,1.002
8,2012-05-03,1.0
9,2012-05-04,0.992
10,2012-05-07,0.99
11,2012-05-08,0.985
12,2012-05-09,0.981
13,2012-05-10,0.984
14,2012-05-11,0.981
15,2012-05-14,0.973
16,2012-05-15,0.967
17,2012-05-16,0.964
18,2012-05-17,0.961
19,2012-05-18,0.956
20,2012-05-21,0.963
21,2012-05-22,0.964
22,2012-05-23,0.96
23,2012-05-24,0.964
24,2012-05-25,0.964
25,2012-05-28,0.965
26,2012-05-29,0.974
27,2012-05-30,0.953
28,2012-05-31,0.949
29,2012-06-01,0.933
30,2012-06-04,0.929
31,2012-06-05,0.934
32,2012-06-06,0.954
33,2012-06-07,0.958
34,2012-06-08,0.955
35,2012-06-11,0.951
36,2012-06-12,0.958
37,2012-06-13,0.955
38,2012-06-14,0.96
39,2012-06-15,0.973
40,2012-06-18,0.97
41,2012-06-19,0.98
42,2012-06-20,0.977
43,2012-06-21,0.951
44,2012-06-25,0.937
45,2012-06-26,0.941
46,2012-06-27,0.953
47,2012-06-28,0.954
48,2012-06-29,0.98
49,2012-06-30,0.98
50,2012-07-02,0.984
51,2012-07-03,1.003
52,2012-07-04,1.002
53,2012-07-05,0.994
54,2012-07-06,0.983
55,2012-07-09,0.976
56,2012-07-10,0.966
57,2012-07-11,0.975
58,2012-07-12,0.971
59,2012-07-13,0.983
60,2012-07-16,0.988
61,2012-07-17,0.997
62,2012-07-18,1.004
63,2012-07-19,1.012
64,2012-07-20,1.01
65,2012-07-23,0.997
66,2012-07-24,0.986
67,2012-07-25,0.985
68,2012-07-26,1.006
69,2012-07-27,1.023
70,2012-07-30,1.028
71,2012-07-31,1.018
72,2012-08-01,1.024
73,2012-08-02,1.009
74,2012-08-03,1.032
75,2012-08-06,1.039
76,2012-08-07,1.055
77,2012-08-08,1.058
78,2012-08-09,1.064
79,2012-08-10,1.066
80,2012-08-13,1.059
81,2012-08-14,1.062
82,2012-08-15,1.061
83,2012-08-16,1.071
84,2012-08-17,1.072
85,2012-08-20,1.069
86,2012-08-21,1.068
87,2012-08-22,1.067
88,2012-08-23,1.058
89,2012-08-24,1.019
90,2012-08-27,1.019
91,2012-08-28,1.018
92,2012-08-29,1.013
93,2012-08-30,1.003
94,2012-08-31,1.01
95,2012-09-03,1.012
96,2012-09-04,1.004
97,2012-09-05,0.999
98,2012-09-06,1.019
99,2012-09-07,1.039
100,2012-09-10,1.036
101,2012-09-11,1.045
102,2012-09-12,1.05
103,2012-09-13,1.064
104,2012-09-14,1.088
105,2012-09-17,1.081
106,2012-09-18,1.071
107,2012-09-19,1.062
108,2012-09-20,1.062
109,2012-09-21,1.064
110,2012-09-24,1.056
111,2012-09-25,1.049
112,2012-09-26,1.037
113,2012-09-27,1.048
114,2012-09-28,1.043
115,2012-09-30,1.043
116,2012-10-08,1.042
117,2012-10-09,1.046
118,2012-10-10,1.034
119,2012-10-11,1.041
120,2012-10-12,1.035
121,2012-10-15,1.034
122,2012-10-16,1.048
123,2012-10-17,1.059
124,2012-10-18,1.062
125,2012-10-19,1.049
126,2012-10-22,1.04
127,2012-10-23,1.018
128,2012-10-24,1.011
129,2012-10-25,1.016
130,2012-10-26,1.014
131,2012-10-29,1.013
132,2012-10-30,1.015
133,2012-10-31,1.01
134,2012-11-01,1.016
135,2012-11-02,1.007
136,2012-11-05,1.008
137,2012-11-06,1.02
138,2012-11-07,0.994
