,date,value
0,2013-08-02,1.0
1,2013-08-09,1.001
2,2013-08-16,1.001
3,2013-08-23,1.002
4,2013-08-26,1.002
5,2013-08-27,1.0
6,2013-08-28,1.001
7,2013-08-29,1.002
8,2013-08-30,1.001
9,2013-09-02,1.001
10,2013-09-03,1.002
11,2013-09-04,1.005
12,2013-09-05,1.005
13,2013-09-06,1.005
14,2013-09-09,1.007
15,2013-09-10,1.009
16,2013-09-11,1.009
17,2013-09-12,1.008
18,2013-09-13,1.009
19,2013-09-16,1.01
20,2013-09-17,1.014
21,2013-09-18,1.019
22,2013-09-23,1.017
23,2013-09-24,1.017
24,2013-09-25,1.017
25,2013-09-26,1.021
26,2013-09-27,1.021
27,2013-09-30,1.019
28,2013-10-08,1.004
29,2013-10-09,1.001
30,2013-10-10,1.014
31,2013-10-11,1.02
32,2013-10-14,1.025
33,2013-10-15,1.022
34,2013-10-16,1.031
35,2013-10-17,1.037
36,2013-10-18,1.044
37,2013-10-21,1.044
38,2013-10-22,1.047
39,2013-10-23,1.037
40,2013-10-24,1.042
41,2013-10-25,1.049
42,2013-10-28,1.047
43,2013-10-29,1.049
44,2013-10-30,1.047
45,2013-10-31,1.044
46,2013-11-01,1.044
47,2013-11-04,1.048
48,2013-11-05,1.05
49,2013-11-06,1.047
50,2013-11-07,1.026
51,2013-11-08,1.037
52,2013-11-11,1.036
53,2013-11-12,1.036
54,2013-11-13,1.047
55,2013-11-14,1.047
56,2013-11-15,1.049
57,2013-11-18,1.037
58,2013-11-19,1.036
59,2013-11-20,1.032
60,2013-11-21,1.042
61,2013-11-22,1.048
62,2013-11-25,1.048
63,2013-11-26,1.053
64,2013-11-27,1.06
65,2013-11-28,1.059
66,2013-11-29,1.065
67,2013-12-02,1.063
68,2013-12-03,1.063
69,2013-12-04,1.062
70,2013-12-05,1.06
71,2013-12-06,1.067
72,2013-12-09,1.067
73,2013-12-10,1.065
74,2013-12-11,1.05
75,2013-12-12,1.047
76,2013-12-13,1.046
77,2013-12-16,1.051
78,2013-12-17,1.048
79,2013-12-18,1.06
80,2013-12-19,1.057
81,2013-12-20,1.067
82,2013-12-23,1.077
83,2013-12-24,1.077
84,2013-12-25,1.078
85,2013-12-26,1.081
86,2013-12-27,1.076
87,2013-12-30,1.074
88,2013-12-31,1.078
89,2014-01-02,1.071
90,2014-01-03,1.065
91,2014-01-06,1.062
92,2014-01-07,1.07
93,2014-01-08,1.073
94,2014-01-09,1.07
95,2014-01-10,1.071
96,2014-01-13,1.058
97,2014-01-14,1.074
98,2014-01-15,1.082
99,2014-01-16,1.083
100,2014-01-17,1.077
101,2014-01-20,1.078
102,2014-01-21,1.084
103,2014-01-22,1.087
104,2014-01-23,1.084
105,2014-01-24,1.068
106,2014-01-27,1.06
107,2014-01-28,1.058
108,2014-01-29,1.049
109,2014-01-30,1.065
110,2014-02-07,1.071
111,2014-02-10,1.075
112,2014-02-11,1.084
113,2014-02-12,1.086
114,2014-02-13,1.094
115,2014-02-14,1.095
116,2014-02-17,1.094
117,2014-02-18,1.098
118,2014-02-19,1.092
119,2014-02-20,1.097
120,2014-02-21,1.094
121,2014-02-24,1.101
122,2014-02-25,1.099
123,2014-02-26,1.098
124,2014-02-27,1.106
125,2014-02-28,1.105
126,2014-03-03,1.096
127,2014-03-04,1.111
128,2014-03-05,1.114
129,2014-03-06,1.111
130,2014-03-07,1.106
131,2014-03-10,1.108
132,2014-03-11,1.105
133,2014-03-12,1.109
134,2014-03-13,1.095
135,2014-03-14,1.09
136,2014-03-17,1.097
137,2014-03-18,1.109
138,2014-03-19,1.103
139,2014-03-20,1.108
140,2014-03-21,1.1
141,2014-03-24,1.092
142,2014-03-25,1.095
143,2014-03-26,1.084
144,2014-03-27,1.079
145,2014-03-28,1.082
146,2014-03-31,1.088
147,2014-04-01,1.102
148,2014-04-02,1.103
149,2014-04-03,1.098
150,2014-04-04,1.076
151,2014-04-08,1.075
152,2014-04-09,1.089
153,2014-04-10,1.063
154,2014-04-11,1.054
155,2014-04-14,1.061
156,2014-04-15,1.064
157,2014-04-16,1.075
158,2014-04-17,1.075
159,2014-04-18,1.075
160,2014-04-21,1.082
161,2014-04-22,1.088
162,2014-04-23,1.08
163,2014-04-24,1.091
164,2014-04-25,1.076
165,2014-04-28,1.08
166,2014-04-29,1.087
167,2014-04-30,1.089
168,2014-05-05,1.094
169,2014-05-06,1.081
170,2014-05-07,1.078
171,2014-05-08,1.077
172,2014-05-09,1.081
173,2014-05-12,1.097
174,2014-05-13,1.098
175,2014-05-14,1.093
176,2014-05-15,1.086
177,2014-05-16,1.091
178,2014-05-19,1.098
179,2014-05-20,1.094
180,2014-05-21,1.103
181,2014-05-22,1.107
182,2014-05-23,1.114
183,2014-05-26,1.115
184,2014-05-27,1.126
185,2014-05-28,1.124
186,2014-05-29,1.13
187,2014-05-30,1.13
188,2014-06-03,1.129
189,2014-06-04,1.133
190,2014-06-05,1.146
191,2014-06-06,1.15
192,2014-06-09,1.147
193,2014-06-10,1.147
194,2014-06-11,1.147
195,2014-06-12,1.14
196,2014-06-13,1.146
197,2014-06-16,1.147
198,2014-06-17,1.147
199,2014-06-18,1.155
200,2014-06-19,1.155
201,2014-06-20,1.157
202,2014-06-23,1.159
203,2014-06-24,1.158
204,2014-06-25,1.167
205,2014-06-26,1.166
206,2014-06-27,1.171
207,2014-06-30,1.171
208,2014-07-01,1.182
209,2014-07-02,1.185
210,2014-07-03,1.192
211,2014-07-04,1.193
212,2014-07-07,1.19
213,2014-07-08,1.176
214,2014-07-09,1.184
215,2014-07-10,1.178
216,2014-07-11,1.187
217,2014-07-14,1.193
218,2014-07-15,1.19
219,2014-07-16,1.197
220,2014-07-17,1.183
221,2014-07-18,1.199
222,2014-07-21,1.196
223,2014-07-22,1.205
224,2014-07-23,1.21
225,2014-07-24,1.21
226,2014-07-25,1.206
227,2014-07-28,1.206
228,2014-07-29,1.204
