,date,value
0,2017-03-29,1.0
1,2017-03-31,1.0001
2,2017-04-07,1.0007
3,2017-04-14,0.9963
4,2017-04-21,0.9616
5,2017-04-24,0.9377
6,2017-04-25,0.9502
7,2017-04-26,0.9382
8,2017-04-27,0.931
9,2017-04-28,0.9357
10,2017-05-02,0.9298
11,2017-05-03,0.9326
12,2017-05-04,0.9175
13,2017-05-05,0.8933
14,2017-05-08,0.8591
15,2017-05-09,0.8666
16,2017-05-10,0.8407
17,2017-05-11,0.841
18,2017-05-12,0.8352
19,2017-05-15,0.838
20,2017-05-16,0.8493
21,2017-05-17,0.855
22,2017-05-18,0.8461
23,2017-05-19,0.8444
24,2017-05-22,0.8333
25,2017-05-23,0.8004
26,2017-05-24,0.8047
27,2017-05-25,0.8127
28,2017-05-26,0.8112
29,2017-05-31,0.811
30,2017-06-01,0.7933
31,2017-06-02,0.8053
32,2017-06-05,0.8121
33,2017-06-06,0.8195
34,2017-06-07,0.8317
35,2017-06-08,0.8284
36,2017-06-09,0.8303
37,2017-06-12,0.8152
38,2017-06-13,0.8225
39,2017-06-14,0.8274
40,2017-06-15,0.8352
41,2017-06-16,0.8401
42,2017-06-19,0.8551
43,2017-06-20,0.852
44,2017-06-21,0.852
45,2017-06-22,0.8375
46,2017-06-23,0.8405
47,2017-06-26,0.8512
48,2017-06-27,0.8563
49,2017-06-28,0.8459
50,2017-06-29,0.8532
51,2017-06-30,0.8514
52,2017-07-03,0.854
53,2017-07-04,0.8574
54,2017-07-05,0.8583
55,2017-07-06,0.858
56,2017-07-07,0.8636
57,2017-07-10,0.8623
58,2017-07-11,0.8542
59,2017-07-12,0.8495
60,2017-07-13,0.8567
61,2017-07-14,0.8531
62,2017-07-17,0.8041
63,2017-07-18,0.8115
64,2017-07-19,0.8215
65,2017-07-20,0.8253
66,2017-07-21,0.829
67,2017-07-24,0.8457
68,2017-07-25,0.8371
69,2017-07-26,0.839
70,2017-07-27,0.8483
71,2017-07-28,0.842
72,2017-07-31,0.8362
73,2017-08-01,0.8316
74,2017-08-02,0.8174
75,2017-08-03,0.8201
76,2017-08-04,0.8584
77,2017-08-07,0.8545
78,2017-08-08,0.8573
79,2017-08-09,0.8519
80,2017-08-10,0.8536
81,2017-08-11,0.8493
82,2017-08-14,0.8614
83,2017-08-15,0.8633
84,2017-08-16,0.8745
85,2017-08-17,0.8837
86,2017-08-18,0.8766
87,2017-08-21,0.8787
88,2017-08-22,0.8655
89,2017-08-23,0.866
90,2017-08-24,0.8599
91,2017-08-25,0.8669
92,2017-08-28,0.8767
93,2017-08-29,0.8639
94,2017-08-30,0.8676
95,2017-08-31,0.8676
96,2017-09-01,0.8719
97,2017-09-04,0.8827
98,2017-09-05,0.8799
99,2017-09-06,0.889
100,2017-09-07,0.8791
101,2017-09-08,0.8756
102,2017-09-11,0.8821
103,2017-09-12,0.8781
104,2017-09-13,0.8807
105,2017-09-14,0.8768
106,2017-09-15,0.8836
107,2017-09-18,0.8868
108,2017-09-19,0.8802
109,2017-09-20,0.8901
110,2017-09-21,0.8778
111,2017-09-22,0.8733
112,2017-09-25,0.8694
113,2017-09-26,0.8734
114,2017-09-27,0.8782
115,2017-09-28,0.8822
116,2017-09-29,0.8852
117,2017-10-09,0.8875
