,date,value
0,2016-04-13,1.0
1,2016-04-15,1.0
2,2016-04-18,1.0032
3,2016-04-19,1.0046
4,2016-04-20,1.0049
5,2016-04-21,1.0071
6,2016-04-22,1.0051
7,2016-04-25,1.0031
8,2016-04-26,1.0022
9,2016-04-27,1.0063
10,2016-04-28,1.0078
11,2016-04-29,1.0168
12,2016-05-03,1.0257
13,2016-05-04,1.0204
14,2016-05-05,1.0187
15,2016-05-06,1.0201
16,2016-05-09,1.0197
17,2016-05-10,1.0148
18,2016-05-11,1.0172
19,2016-05-12,1.0157
20,2016-05-13,1.0183
21,2016-05-16,1.0228
22,2016-05-17,1.0192
23,2016-05-18,1.0192
24,2016-05-19,1.0099
25,2016-05-20,1.01
26,2016-05-23,1.0086
27,2016-05-24,1.0035
28,2016-05-25,0.9912
29,2016-05-26,0.9949
30,2016-05-27,0.9895
31,2016-05-30,0.9799
32,2016-05-31,0.9855
33,2016-06-01,0.9904
34,2016-06-02,0.9893
35,2016-06-03,0.9872
36,2016-06-06,1.0051
37,2016-06-07,1.0066
38,2016-06-08,1.0143
39,2016-06-13,1.0377
40,2016-06-14,1.0368
41,2016-06-15,1.0414
42,2016-06-16,1.0591
43,2016-06-17,1.041
44,2016-06-20,1.0384
45,2016-06-21,1.0372
46,2016-06-22,1.0261
47,2016-06-23,1.0273
48,2016-06-24,1.0734
49,2016-06-27,1.0781
50,2016-06-28,1.0744
51,2016-06-29,1.0786
52,2016-06-30,1.0748
53,2016-07-01,1.086
54,2016-07-04,1.0992
55,2016-07-05,1.0954
56,2016-07-06,1.1131
57,2016-07-07,1.1146
58,2016-07-08,1.1058
59,2016-07-11,1.1104
60,2016-07-12,1.1083
61,2016-07-13,1.098
62,2016-07-14,1.0917
63,2016-07-15,1.0904
64,2016-07-18,1.0877
65,2016-07-19,1.0903
66,2016-07-20,1.0861
67,2016-07-21,1.0772
68,2016-07-22,1.0831
69,2016-07-25,1.0769
70,2016-07-26,1.0793
71,2016-07-27,1.0781
72,2016-07-28,1.0927
73,2016-07-29,1.0859
74,2016-08-01,1.0942
75,2016-08-02,1.101
76,2016-08-03,1.1073
77,2016-08-04,1.0973
78,2016-08-05,1.1082
79,2016-08-08,1.0879
80,2016-08-09,1.0971
81,2016-08-10,1.0992
82,2016-08-11,1.0932
83,2016-08-12,1.0896
84,2016-08-15,1.0915
85,2016-08-16,1.0938
86,2016-08-17,1.0895
87,2016-08-18,1.097
88,2016-08-19,1.0946
89,2016-08-22,1.0881
90,2016-08-23,1.0897
91,2016-08-24,1.0893
92,2016-08-25,1.0839
93,2016-08-26,1.0841
94,2016-08-29,1.0797
95,2016-08-30,1.0806
