,date,value
0,2021-01-22,1.0
1,2021-01-29,0.9869
2,2021-02-01,0.9993
3,2021-02-02,1.0105
4,2021-02-03,1.0275
5,2021-02-04,1.0195
6,2021-02-05,1.0195
7,2021-02-08,1.0478
8,2021-02-09,1.0678
9,2021-02-10,1.0891
10,2021-02-18,1.0829
11,2021-02-19,1.1127
12,2021-02-22,1.1064
13,2021-02-23,1.0869
14,2021-02-24,1.0654
15,2021-02-25,1.0609
16,2021-02-26,1.0398
17,2021-03-01,1.0533
18,2021-03-02,1.0398
19,2021-03-03,1.0426
20,2021-03-04,1.0107
21,2021-03-05,0.9987
22,2021-03-08,0.9599
23,2021-03-09,0.9332
24,2021-03-10,0.9325
25,2021-03-11,0.9491
26,2021-03-12,0.9489
27,2021-03-15,0.9243
28,2021-03-16,0.9271
29,2021-03-17,0.9478
30,2021-03-18,0.9513
31,2021-03-19,0.9315
32,2021-03-22,0.9415
33,2021-03-23,0.9354
34,2021-03-24,0.9294
35,2021-03-25,0.9313
36,2021-03-26,0.9394
37,2021-03-29,0.9376
38,2021-03-30,0.9504
39,2021-03-31,0.9412
40,2021-04-01,0.9487
41,2021-04-02,0.9569
42,2021-04-06,0.9544
43,2021-04-07,0.948
44,2021-04-08,0.9457
45,2021-04-09,0.937
46,2021-04-12,0.9213
47,2021-04-13,0.9282
48,2021-04-14,0.9274
49,2021-04-15,0.9263
50,2021-04-16,0.9221
51,2021-04-19,0.9421
52,2021-04-20,0.9546
53,2021-04-21,0.9548
54,2021-04-22,0.9532
55,2021-04-23,0.9585
56,2021-04-26,0.9457
57,2021-04-27,0.945
58,2021-04-28,0.949
59,2021-04-29,0.9615
60,2021-04-30,0.9612
61,2021-05-06,0.9487
62,2021-05-07,0.9418
63,2021-05-10,0.9267
64,2021-05-11,0.9331
65,2021-05-12,0.949
66,2021-05-13,0.9351
67,2021-05-14,0.9442
68,2021-05-17,0.9582
69,2021-05-18,0.9559
70,2021-05-19,0.9553
71,2021-05-20,0.9579
72,2021-05-21,0.9471
73,2021-05-24,0.9378
74,2021-05-25,0.9525
75,2021-05-26,0.9474
76,2021-05-27,0.945
77,2021-05-28,0.9342
78,2021-05-31,0.9373
79,2021-06-01,0.9427
80,2021-06-02,0.9401
81,2021-06-03,0.9325
82,2021-06-04,0.9378
83,2021-06-07,0.9273
84,2021-06-08,0.9285
85,2021-06-09,0.9271
86,2021-06-10,0.924
87,2021-06-11,0.9217
88,2021-06-15,0.9099
89,2021-06-16,0.8979
90,2021-06-17,0.8928
91,2021-06-18,0.888
92,2021-06-21,0.8774
93,2021-06-22,0.8868
94,2021-06-23,0.892
95,2021-06-24,0.8905
96,2021-06-25,0.9009
97,2021-06-28,0.9278
98,2021-06-29,0.9211
99,2021-06-30,0.9223
100,2021-07-01,0.9156
101,2021-07-02,0.9042
102,2021-07-05,0.9003
103,2021-07-06,0.9015
104,2021-07-07,0.8997
105,2021-07-08,0.8886
106,2021-07-09,0.8922
107,2021-07-12,0.898
108,2021-07-13,0.9066
109,2021-07-14,0.898
110,2021-07-15,0.8947
111,2021-07-16,0.8808
112,2021-07-19,0.8766
113,2021-07-20,0.8762
114,2021-07-21,0.8807
115,2021-07-22,0.8797
116,2021-07-23,0.8673
117,2021-07-26,0.8549
118,2021-07-27,0.8321
119,2021-07-28,0.8147
120,2021-07-29,0.8255
121,2021-07-30,0.8293
122,2021-08-02,0.8566
123,2021-08-03,0.8646
124,2021-08-04,0.8685
125,2021-08-05,0.8719
126,2021-08-06,0.8716
127,2021-08-09,0.8964
128,2021-08-10,0.9015
129,2021-08-11,0.8933
130,2021-08-12,0.8897
131,2021-08-13,0.8928
132,2021-08-16,0.8946
133,2021-08-17,0.8726
134,2021-08-18,0.8668
135,2021-08-19,0.8593
136,2021-08-20,0.8513
137,2021-08-23,0.8609
138,2021-08-24,0.8637
139,2021-08-25,0.8724
140,2021-08-26,0.8536
141,2021-08-27,0.8608
142,2021-08-30,0.8667
143,2021-08-31,0.8726
144,2021-09-01,0.8722
145,2021-09-02,0.8812
146,2021-09-03,0.8905
147,2021-09-06,0.892
148,2021-09-07,0.9044
149,2021-09-08,0.9052
150,2021-09-09,0.9066
151,2021-09-10,0.9086
152,2021-09-13,0.9089
153,2021-09-14,0.8948
154,2021-09-15,0.9004
155,2021-09-16,0.9041
156,2021-09-17,0.9049
157,2021-09-22,0.8918
158,2021-09-23,0.8969
159,2021-09-24,0.9013
160,2021-09-27,0.9094
161,2021-09-28,0.9008
162,2021-09-29,0.8991
163,2021-09-30,0.9072
164,2021-10-08,0.9323
165,2021-10-11,0.9328
166,2021-10-12,0.9234
167,2021-10-13,0.9264
168,2021-10-14,0.9178
169,2021-10-15,0.9071
170,2021-10-18,0.9189
171,2021-10-19,0.9455
172,2021-10-20,0.9346
173,2021-10-21,0.9297
174,2021-10-22,0.9303
175,2021-10-25,0.9418
176,2021-10-26,0.9298
177,2021-10-27,0.9318
178,2021-10-28,0.9217
179,2021-10-29,0.9512
180,2021-11-01,0.9591
181,2021-11-02,0.9609
182,2021-11-03,0.9741
183,2021-11-04,0.9873
184,2021-11-05,0.9659
185,2021-11-08,0.9613
186,2021-11-09,0.9698
187,2021-11-10,0.9583
188,2021-11-11,0.9643
189,2021-11-12,0.9743
190,2021-11-15,0.9682
191,2021-11-16,0.9628
192,2021-11-17,0.9597
193,2021-11-18,0.9582
194,2021-11-19,0.9554
195,2021-11-22,0.9583
196,2021-11-23,0.9512
197,2021-11-24,0.9389
198,2021-11-25,0.9354
199,2021-11-26,0.9318
200,2021-11-29,0.9325
201,2021-11-30,0.9285
202,2021-12-01,0.9332
203,2021-12-02,0.9329
204,2021-12-03,0.9443
205,2021-12-06,0.9337
206,2021-12-07,0.9376
207,2021-12-08,0.9511
208,2021-12-09,0.9585
209,2021-12-10,0.9637
210,2021-12-13,0.9628
211,2021-12-14,0.9554
212,2021-12-15,0.9477
213,2021-12-16,0.9497
214,2021-12-17,0.9436
215,2021-12-20,0.9344
216,2021-12-21,0.94
217,2021-12-22,0.9534
218,2021-12-23,0.9673
219,2021-12-24,0.9724
220,2021-12-27,0.9677
221,2021-12-28,0.9706
222,2021-12-29,0.9594
223,2021-12-30,0.9611
224,2021-12-31,0.9754
225,2022-01-04,0.9998
226,2022-01-05,0.9944
227,2022-01-06,0.9876
228,2022-01-07,0.9687
229,2022-01-10,0.996
230,2022-01-11,0.978
231,2022-01-12,0.9858
232,2022-01-13,0.9595
233,2022-01-14,0.952
234,2022-01-17,0.9586
235,2022-01-18,0.9563
236,2022-01-19,0.9474
237,2022-01-20,0.954
238,2022-01-21,0.9333
239,2022-01-24,0.933
240,2022-01-25,0.9012
241,2022-01-26,0.9128
242,2022-01-27,0.894
243,2022-01-28,0.9045
244,2022-02-07,0.9204
245,2022-02-08,0.9239
246,2022-02-09,0.943
247,2022-02-10,0.9595
248,2022-02-11,0.938
249,2022-02-14,0.9254
250,2022-02-15,0.926
251,2022-02-16,0.924
252,2022-02-17,0.9381
253,2022-02-18,0.941
254,2022-02-21,0.9449
255,2022-02-22,0.9442
256,2022-02-23,0.9442
257,2022-02-24,0.9297
258,2022-02-25,0.9309
259,2022-02-28,0.9351
260,2022-03-01,0.9537
261,2022-03-02,0.9537
262,2022-03-03,0.9466
263,2022-03-04,0.9471
264,2022-03-07,0.9315
265,2022-03-08,0.8966
266,2022-03-09,0.8827
267,2022-03-10,0.8916
268,2022-03-11,0.9156
269,2022-03-14,0.8837
270,2022-03-15,0.8389
271,2022-03-16,0.8576
272,2022-03-17,0.8742
273,2022-03-18,0.8886
274,2022-03-21,0.9002
275,2022-03-22,0.9055
276,2022-03-23,0.9044
277,2022-03-24,0.9015
278,2022-03-25,0.9055
279,2022-03-28,0.9085
280,2022-03-29,0.9321
281,2022-03-30,0.9361
282,2022-03-31,0.9234
283,2022-04-01,0.9285
284,2022-04-06,0.9274
285,2022-04-07,0.9126
286,2022-04-08,0.9129
287,2022-04-11,0.9192
288,2022-04-12,0.9246
289,2022-04-13,0.9093
290,2022-04-14,0.9264
291,2022-04-15,0.9179
292,2022-04-18,0.939
293,2022-04-19,0.9542
294,2022-04-20,0.9428
295,2022-04-21,0.9011
296,2022-04-22,0.8883
297,2022-04-25,0.8467
298,2022-04-26,0.8297
299,2022-04-27,0.8689
300,2022-04-28,0.8586
301,2022-04-29,0.8587
302,2022-05-05,0.8765
303,2022-05-06,0.8672
304,2022-05-09,0.8758
305,2022-05-10,0.8804
306,2022-05-11,0.8749
307,2022-05-12,0.8684
308,2022-05-13,0.8701
309,2022-05-16,0.8868
310,2022-05-17,0.8857
311,2022-05-18,0.8796
312,2022-05-19,0.8772
313,2022-05-20,0.8837
314,2022-05-23,0.8973
315,2022-05-24,0.8701
316,2022-05-25,0.8839
317,2022-05-26,0.8838
318,2022-05-27,0.8825
319,2022-05-30,0.8838
320,2022-05-31,0.9018
321,2022-06-01,0.8956
322,2022-06-02,0.8908
323,2022-06-06,0.8982
324,2022-06-07,0.9042
325,2022-06-08,0.9137
326,2022-06-09,0.9232
327,2022-06-10,0.9299
328,2022-06-13,0.9447
329,2022-06-14,0.9598
330,2022-06-15,0.9447
331,2022-06-16,0.9512
332,2022-06-17,0.9574
333,2022-06-20,0.9536
334,2022-06-21,0.9486
335,2022-06-22,0.9539
336,2022-06-23,0.9579
337,2022-06-24,0.9604
338,2022-06-27,0.9796
339,2022-06-28,0.985
340,2022-06-29,0.9552
341,2022-06-30,0.962
342,2022-07-01,0.975
343,2022-07-04,1.016
344,2022-07-05,1.0268
345,2022-07-06,0.9951
346,2022-07-07,1.0066
347,2022-07-08,1.0023
348,2022-07-11,1.001
349,2022-07-12,0.981
350,2022-07-13,0.9836
351,2022-07-14,0.9777
352,2022-07-15,0.9608
353,2022-07-18,0.9646
354,2022-07-19,0.9684
355,2022-07-20,0.9652
356,2022-07-21,0.9547
357,2022-07-22,0.9442
358,2022-07-25,0.9407
359,2022-07-26,0.9468
360,2022-07-27,0.9454
361,2022-07-28,0.9414
362,2022-07-29,0.9484
363,2022-08-01,0.9478
364,2022-08-02,0.928
365,2022-08-03,0.9143
366,2022-08-04,0.9231
367,2022-08-05,0.9332
368,2022-08-08,0.9337
369,2022-08-09,0.9277
370,2022-08-10,0.9224
371,2022-08-11,0.9341
372,2022-08-12,0.9352
373,2022-08-15,0.9375
374,2022-08-16,0.9459
375,2022-08-17,0.9435
376,2022-08-18,0.9312
377,2022-08-19,0.9451
378,2022-08-22,0.9612
379,2022-08-23,0.9632
380,2022-08-24,0.9528
381,2022-08-25,0.9631
382,2022-08-26,0.9721
383,2022-08-29,0.973
384,2022-08-30,0.9679
385,2022-08-31,0.9504
386,2022-09-01,0.9457
387,2022-09-02,0.9436
388,2022-09-05,0.9424
389,2022-09-06,0.9538
390,2022-09-07,0.9461
391,2022-09-08,0.9331
392,2022-09-09,0.9353
393,2022-09-13,0.945
394,2022-09-14,0.932
395,2022-09-15,0.9142
396,2022-09-16,0.8986
397,2022-09-19,0.903
398,2022-09-20,0.9004
399,2022-09-21,0.8895
400,2022-09-22,0.8853
401,2022-09-23,0.8766
402,2022-09-26,0.8544
403,2022-09-27,0.8702
404,2022-09-28,0.8557
405,2022-09-29,0.8605
406,2022-09-30,0.858
407,2022-10-10,0.8694
408,2022-10-11,0.8735
409,2022-10-12,0.8858
410,2022-10-13,0.891
411,2022-10-14,0.8988
412,2022-10-17,0.9007
413,2022-10-18,0.9002
414,2022-10-19,0.878
415,2022-10-20,0.8686
416,2022-10-21,0.8639
417,2022-10-24,0.8468
418,2022-10-25,0.8427
419,2022-10-26,0.8327
420,2022-10-27,0.8333
421,2022-10-28,0.7981
422,2022-10-31,0.7993
423,2022-11-01,0.8249
424,2022-11-02,0.8304
425,2022-11-03,0.8299
426,2022-11-04,0.8485
427,2022-11-07,0.8564
428,2022-11-08,0.8489
429,2022-11-09,0.8413
430,2022-11-10,0.842
431,2022-11-11,0.849
432,2022-11-14,0.8439
433,2022-11-15,0.8524
434,2022-11-16,0.8464
435,2022-11-17,0.8458
436,2022-11-18,0.8336
437,2022-11-21,0.836
438,2022-11-22,0.8291
439,2022-11-23,0.8261
440,2022-11-24,0.8302
441,2022-11-25,0.8289
442,2022-11-28,0.8253
443,2022-11-29,0.8351
444,2022-11-30,0.8398
445,2022-12-01,0.8485
446,2022-12-02,0.8542
447,2022-12-05,0.8579
448,2022-12-06,0.8693
449,2022-12-07,0.8714
450,2022-12-08,0.8605
451,2022-12-09,0.8612
452,2022-12-12,0.8522
453,2022-12-13,0.8599
454,2022-12-14,0.8607
455,2022-12-15,0.855
456,2022-12-16,0.8538
457,2022-12-19,0.8364
458,2022-12-20,0.8229
459,2022-12-21,0.83
460,2022-12-22,0.8274
461,2022-12-23,0.8218
462,2022-12-26,0.8279
463,2022-12-27,0.8415
464,2022-12-28,0.8306
465,2022-12-29,0.8262
466,2022-12-30,0.833
467,2022-12-31,0.833
468,2023-01-03,0.8301
469,2023-01-04,0.828
470,2023-01-05,0.8328
471,2023-01-06,0.833
472,2023-01-09,0.8403
473,2023-01-10,0.8402
474,2023-01-11,0.8391
475,2023-01-12,0.8355
476,2023-01-13,0.8485
477,2023-01-16,0.8628
478,2023-01-17,0.8607
479,2023-01-18,0.8548
480,2023-01-19,0.8572
481,2023-01-20,0.8631
482,2023-01-30,0.8633
483,2023-01-31,0.8711
484,2023-02-01,0.8816
485,2023-02-02,0.8833
486,2023-02-03,0.8763
487,2023-02-06,0.8725
488,2023-02-07,0.8711
489,2023-02-08,0.8659
490,2023-02-09,0.8707
491,2023-02-10,0.8714
492,2023-02-13,0.8733
493,2023-02-14,0.8727
494,2023-02-15,0.8629
495,2023-02-16,0.8515
496,2023-02-17,0.8528
497,2023-02-20,0.8634
498,2023-02-21,0.8729
499,2023-02-22,0.8752
500,2023-02-23,0.8718
501,2023-02-24,0.8694
502,2023-02-27,0.8729
503,2023-02-28,0.8737
504,2023-03-01,0.875
505,2023-03-02,0.8708
506,2023-03-03,0.8694
507,2023-03-06,0.8686
508,2023-03-07,0.8512
509,2023-03-08,0.8501
510,2023-03-09,0.844
511,2023-03-10,0.8358
512,2023-03-13,0.8391
513,2023-03-14,0.8524
514,2023-03-15,0.8564
515,2023-03-16,0.8365
516,2023-03-17,0.8369
517,2023-03-20,0.8273
518,2023-03-21,0.8308
519,2023-03-22,0.8319
520,2023-03-23,0.8313
521,2023-03-24,0.8304
522,2023-03-27,0.8341
523,2023-03-28,0.8388
524,2023-03-29,0.8263
525,2023-03-30,0.8305
526,2023-03-31,0.8425
527,2023-04-03,0.8486
528,2023-04-04,0.8565
529,2023-04-06,0.8526
530,2023-04-07,0.8477
531,2023-04-10,0.8442
532,2023-04-11,0.8403
533,2023-04-12,0.8317
534,2023-04-13,0.8284
535,2023-04-14,0.8244
536,2023-04-17,0.8298
537,2023-04-18,0.8297
538,2023-04-19,0.8269
539,2023-04-20,0.821
540,2023-04-21,0.814
541,2023-04-24,0.8017
542,2023-04-25,0.8018
543,2023-04-26,0.8057
544,2023-04-27,0.8048
545,2023-04-28,0.8055
546,2023-05-04,0.801
547,2023-05-05,0.7933
548,2023-05-08,0.7891
549,2023-05-09,0.7895
550,2023-05-10,0.787
551,2023-05-11,0.7884
552,2023-05-12,0.7847
553,2023-05-15,0.7832
554,2023-05-16,0.7794
555,2023-05-17,0.7783
556,2023-05-18,0.7626
557,2023-05-19,0.7614
558,2023-05-22,0.767
559,2023-05-23,0.7633
560,2023-05-24,0.758
561,2023-05-25,0.7497
562,2023-05-26,0.7483
563,2023-05-29,0.7431
564,2023-05-30,0.7382
565,2023-05-31,0.7274
566,2023-06-01,0.7307
567,2023-06-02,0.7381
568,2023-06-05,0.732
569,2023-06-06,0.7235
570,2023-06-07,0.7214
571,2023-06-08,0.7365
