,date,value
0,2015-03-30,1.0
1,2015-04-03,1.003
2,2015-04-10,0.991
3,2015-04-13,1.006
4,2015-04-14,1.004
5,2015-04-15,0.968
6,2015-04-16,0.98
7,2015-04-17,0.989
8,2015-04-20,0.967
9,2015-04-21,0.997
10,2015-04-22,1.022
11,2015-04-23,1.049
12,2015-04-24,1.045
13,2015-04-27,1.047
14,2015-04-28,1.01
15,2015-04-29,1.037
16,2015-04-30,1.036
17,2015-05-04,1.053
18,2015-05-05,1.018
19,2015-05-06,1.008
20,2015-05-07,0.984
21,2015-05-08,1.015
22,2015-05-11,1.058
23,2015-05-12,1.078
24,2015-05-13,1.086
25,2015-05-14,1.095
26,2015-05-15,1.09
27,2015-05-18,1.107
28,2015-05-19,1.134
29,2015-05-20,1.159
30,2015-05-21,1.197
31,2015-05-22,1.209
32,2015-05-25,1.24
33,2015-05-26,1.283
34,2015-05-27,1.296
35,2015-05-28,1.226
36,2015-05-29,1.245
37,2015-06-01,1.307
38,2015-06-02,1.359
39,2015-06-03,1.368
40,2015-06-04,1.372
41,2015-06-05,1.387
42,2015-06-08,1.353
43,2015-06-09,1.354
44,2015-06-10,1.374
45,2015-06-11,1.394
46,2015-06-12,1.421
47,2015-06-15,1.412
48,2015-06-16,1.359
49,2015-06-17,1.374
50,2015-06-18,1.331
51,2015-06-19,1.245
52,2015-06-23,1.252
53,2015-06-24,1.278
54,2015-06-25,1.221
55,2015-06-26,1.114
56,2015-06-29,1.036
57,2015-06-30,1.093
58,2015-07-01,1.034
59,2015-07-02,0.97
60,2015-07-03,0.921
61,2015-07-06,0.902
62,2015-07-07,0.851
63,2015-07-08,0.824
64,2015-07-09,0.858
65,2015-07-10,0.897
66,2015-07-13,0.942
67,2015-07-14,0.952
68,2015-07-15,0.899
69,2015-07-16,0.914
70,2015-07-17,0.958
71,2015-07-20,0.968
72,2015-07-21,0.984
73,2015-07-22,0.993
74,2015-07-23,1.017
75,2015-07-24,1.009
76,2015-07-27,0.944
77,2015-07-28,0.918
78,2015-07-29,0.96
79,2015-07-30,0.937
80,2015-07-31,0.933
81,2015-08-03,0.908
82,2015-08-04,0.957
83,2015-08-05,0.959
84,2015-08-06,0.997
85,2015-08-07,1.022
86,2015-08-10,1.055
87,2015-08-11,1.052
88,2015-08-12,1.027
89,2015-08-13,1.054
90,2015-08-14,1.052
91,2015-08-17,1.061
92,2015-08-18,0.993
93,2015-08-19,1.017
94,2015-08-20,0.986
95,2015-08-21,0.931
96,2015-08-24,0.862
97,2015-08-25,0.787
98,2015-08-26,0.763
99,2015-08-27,0.787
100,2015-08-28,0.829
101,2015-08-31,0.814
102,2015-09-01,0.77
103,2015-09-02,0.753
104,2015-09-07,0.758
105,2015-09-08,0.791
106,2015-09-09,0.826
107,2015-09-10,0.806
108,2015-09-11,0.812
109,2015-09-14,0.756
110,2015-09-15,0.712
111,2015-09-16,0.753
112,2015-09-17,0.748
113,2015-09-18,0.762
114,2015-09-21,0.789
115,2015-09-22,0.794
116,2015-09-23,0.802
117,2015-09-24,0.802
118,2015-09-25,0.778
119,2015-09-28,0.794
120,2015-09-29,0.784
121,2015-09-30,0.786
122,2015-10-08,0.81
123,2015-10-09,0.828
124,2015-10-12,0.854
125,2015-10-13,0.873
126,2015-10-14,0.863
127,2015-10-15,0.889
128,2015-10-16,0.898
129,2015-10-19,0.919
130,2015-10-20,0.926
131,2015-10-21,0.862
132,2015-10-22,0.895
133,2015-10-23,0.927
134,2015-10-26,0.948
135,2015-10-27,0.951
136,2015-10-28,0.936
137,2015-10-29,0.941
138,2015-10-30,0.944
139,2015-11-02,0.92
140,2015-11-03,0.92
141,2015-11-04,0.975
142,2015-11-05,0.969
143,2015-11-06,0.99
144,2015-11-09,1.01
145,2015-11-10,1.028
146,2015-11-11,1.044
147,2015-11-12,1.06
148,2015-11-13,1.063
149,2015-11-16,1.076
150,2015-11-17,1.051
151,2015-11-18,1.021
152,2015-11-19,1.062
153,2015-11-20,1.067
154,2015-11-23,1.044
155,2015-11-24,1.055
156,2015-11-25,1.073
157,2015-11-26,1.065
158,2015-11-27,0.997
159,2015-11-30,1.016
160,2015-12-01,1.003
161,2015-12-02,1.001
162,2015-12-03,1.024
163,2015-12-04,1.014
164,2015-12-07,1.03
165,2015-12-08,1.011
