,date,value
0,2013-08-26,1.0
1,2013-08-30,1.002
2,2013-09-06,1.004
3,2013-09-13,1.011
4,2013-09-17,1.009
5,2013-09-18,1.009
6,2013-09-23,1.014
7,2013-09-24,1.012
8,2013-09-25,1.012
9,2013-09-26,1.015
10,2013-09-27,1.015
11,2013-09-30,1.018
12,2013-10-08,1.031
13,2013-10-09,1.034
14,2013-10-10,1.031
15,2013-10-11,1.044
16,2013-10-14,1.051
17,2013-10-15,1.054
18,2013-10-16,1.044
19,2013-10-17,1.043
20,2013-10-18,1.049
21,2013-10-21,1.061
22,2013-10-22,1.056
23,2013-10-23,1.04
24,2013-10-24,1.032
25,2013-10-25,1.033
26,2013-10-28,1.03
27,2013-10-29,1.029
28,2013-10-30,1.039
29,2013-10-31,1.03
30,2013-11-01,1.03
31,2013-11-04,1.03
32,2013-11-05,1.035
33,2013-11-06,1.03
34,2013-11-07,1.03
35,2013-11-08,1.027
36,2013-11-11,1.03
37,2013-11-12,1.038
38,2013-11-13,1.028
39,2013-11-14,1.034
40,2013-11-15,1.047
41,2013-11-18,1.072
42,2013-11-19,1.07
43,2013-11-20,1.074
44,2013-11-21,1.07
45,2013-11-22,1.067
46,2013-11-25,1.066
47,2013-11-26,1.067
48,2013-11-27,1.072
49,2013-11-28,1.075
50,2013-11-29,1.075
51,2013-12-02,1.071
52,2013-12-03,1.081
53,2013-12-04,1.091
54,2013-12-05,1.09
55,2013-12-06,1.084
56,2013-12-09,1.087
57,2013-12-10,1.086
58,2013-12-11,1.08
59,2013-12-12,1.081
60,2013-12-13,1.082
61,2013-12-16,1.078
62,2013-12-17,1.075
63,2013-12-18,1.077
64,2013-12-19,1.071
65,2013-12-20,1.068
66,2013-12-23,1.069
67,2013-12-24,1.07
68,2013-12-25,1.076
69,2013-12-26,1.073
70,2013-12-27,1.079
71,2013-12-30,1.079
72,2013-12-31,1.086
73,2014-01-02,1.083
74,2014-01-03,1.073
75,2014-01-06,1.063
76,2014-01-07,1.064
77,2014-01-08,1.067
78,2014-01-09,1.062
79,2014-01-10,1.059
80,2014-01-13,1.057
81,2014-01-14,1.063
82,2014-01-15,1.066
83,2014-01-16,1.068
84,2014-01-17,1.068
85,2014-01-20,1.069
86,2014-01-21,1.078
87,2014-01-22,1.099
88,2014-01-23,1.103
89,2014-01-24,1.121
90,2014-01-27,1.112
91,2014-01-28,1.113
92,2014-01-29,1.122
93,2014-01-30,1.117
94,2014-02-07,1.127
95,2014-02-10,1.147
96,2014-02-11,1.142
97,2014-02-12,1.144
98,2014-02-13,1.138
99,2014-02-14,1.148
100,2014-02-17,1.167
101,2014-02-18,1.158
102,2014-02-19,1.163
103,2014-02-20,1.15
104,2014-02-21,1.143
105,2014-02-24,1.134
106,2014-02-25,1.113
107,2014-02-26,1.127
108,2014-02-27,1.129
109,2014-02-28,1.136
110,2014-03-03,1.136
111,2014-03-04,1.138
112,2014-03-05,1.13
113,2014-03-06,1.142
114,2014-03-07,1.139
115,2014-03-10,1.103
116,2014-03-11,1.1
117,2014-03-12,1.102
118,2014-03-13,1.115
119,2014-03-14,1.105
120,2014-03-17,1.122
121,2014-03-18,1.116
122,2014-03-19,1.118
123,2014-03-20,1.117
124,2014-03-21,1.151
125,2014-03-24,1.174
126,2014-03-25,1.168
127,2014-03-26,1.167
128,2014-03-27,1.161
129,2014-03-28,1.147
130,2014-03-31,1.141
131,2014-04-01,1.149
132,2014-04-02,1.166
133,2014-04-03,1.153
134,2014-04-04,1.156
135,2014-04-08,1.179
136,2014-04-09,1.176
137,2014-04-10,1.193
138,2014-04-11,1.188
139,2014-04-14,1.185
140,2014-04-15,1.167
141,2014-04-16,1.168
142,2014-04-17,1.164
143,2014-04-18,1.165
144,2014-04-21,1.147
145,2014-04-22,1.15
146,2014-04-23,1.152
147,2014-04-24,1.153
148,2014-04-25,1.149
149,2014-04-28,1.137
150,2014-04-29,1.145
151,2014-04-30,1.148
152,2014-05-05,1.146
153,2014-05-06,1.146
154,2014-05-07,1.141
155,2014-05-08,1.14
156,2014-05-09,1.138
157,2014-05-12,1.155
158,2014-05-13,1.156
159,2014-05-14,1.159
160,2014-05-15,1.144
161,2014-05-16,1.143
162,2014-05-19,1.13
163,2014-05-20,1.131
164,2014-05-21,1.14
165,2014-05-22,1.145
166,2014-05-23,1.164
167,2014-05-26,1.164
168,2014-05-27,1.159
169,2014-05-28,1.177
170,2014-05-29,1.17
171,2014-05-30,1.17
172,2014-06-03,1.165
173,2014-06-04,1.151
174,2014-06-05,1.164
175,2014-06-06,1.157
176,2014-06-09,1.16
177,2014-06-10,1.178
178,2014-06-11,1.174
179,2014-06-12,1.171
180,2014-06-13,1.19
181,2014-06-16,1.197
182,2014-06-17,1.185
183,2014-06-18,1.18
184,2014-06-19,1.166
185,2014-06-20,1.172
186,2014-06-23,1.173
187,2014-06-24,1.179
188,2014-06-25,1.173
189,2014-06-26,1.184
190,2014-06-27,1.184
191,2014-06-30,1.194
192,2014-07-01,1.19
193,2014-07-02,1.193
194,2014-07-03,1.201
195,2014-07-04,1.204
196,2014-07-07,1.211
197,2014-07-08,1.212
198,2014-07-09,1.192
199,2014-07-10,1.192
200,2014-07-11,1.198
201,2014-07-14,1.211
202,2014-07-15,1.209
203,2014-07-16,1.204
204,2014-07-17,1.196
205,2014-07-18,1.213
206,2014-07-21,1.211
207,2014-07-22,1.229
208,2014-07-23,1.236
209,2014-07-24,1.265
210,2014-07-25,1.277
211,2014-07-28,1.307
212,2014-07-29,1.31
213,2014-07-30,1.296
214,2014-07-31,1.313
215,2014-08-01,1.295
216,2014-08-04,1.32
217,2014-08-05,1.317
218,2014-08-06,1.313
219,2014-08-07,1.295
220,2014-08-08,1.296
221,2014-08-11,1.316
222,2014-08-12,1.312
223,2014-08-13,1.32
224,2014-08-14,1.308
225,2014-08-15,1.325
226,2014-08-18,1.336
227,2014-08-19,1.334
228,2014-08-20,1.332
229,2014-08-21,1.328
230,2014-08-22,1.34
231,2014-08-25,1.33
232,2014-08-26,1.309
233,2014-08-27,1.312
234,2014-08-28,1.303
235,2014-08-29,1.316
236,2014-09-01,1.327
237,2014-09-02,1.343
238,2014-09-03,1.358
239,2014-09-04,1.379
240,2014-09-05,1.39
241,2014-09-09,1.383
242,2014-09-10,1.374
243,2014-09-11,1.371
244,2014-09-12,1.379
245,2014-09-15,1.372
246,2014-09-16,1.345
247,2014-09-17,1.352
248,2014-09-18,1.36
249,2014-09-19,1.374
250,2014-09-22,1.351
251,2014-09-23,1.367
252,2014-09-24,1.391
253,2014-09-25,1.384
254,2014-09-26,1.384
255,2014-09-29,1.394
256,2014-09-30,1.396
257,2014-10-08,1.404
258,2014-10-09,1.405
259,2014-10-10,1.403
260,2014-10-13,1.404
261,2014-10-14,1.403
262,2014-10-15,1.417
263,2014-10-16,1.412
264,2014-10-17,1.411
265,2014-10-20,1.418
266,2014-10-21,1.409
267,2014-10-22,1.402
268,2014-10-23,1.391
269,2014-10-24,1.391
270,2014-10-27,1.371
271,2014-10-28,1.397
272,2014-10-29,1.427
273,2014-10-30,1.437
274,2014-10-31,1.47
275,2014-11-03,1.475
276,2014-11-04,1.469
277,2014-11-05,1.475
278,2014-11-06,1.484
279,2014-11-07,1.504
280,2014-11-10,1.546
281,2014-11-11,1.551
282,2014-11-12,1.577
283,2014-11-13,1.569
284,2014-11-14,1.559
285,2014-11-17,1.552
286,2014-11-18,1.533
287,2014-11-19,1.535
288,2014-11-20,1.542
289,2014-11-21,1.583
290,2014-11-24,1.644
291,2014-11-25,1.656
292,2014-11-26,1.7
293,2014-11-27,1.734
294,2014-11-28,1.782
295,2014-12-01,1.779
296,2014-12-02,1.862
297,2014-12-03,1.864
298,2014-12-04,1.962
299,2014-12-05,1.988
300,2014-12-08,2.067
301,2014-12-09,1.923
302,2014-12-10,1.965
303,2014-12-11,1.937
304,2014-12-12,1.947
305,2014-12-15,1.957
