,date,value
0,2020-10-21,1.0
1,2020-10-23,0.9999
2,2020-10-30,0.9996
3,2020-11-06,0.9984
4,2020-11-13,0.9979
5,2020-11-20,0.9972
6,2020-11-27,0.9952
7,2020-12-04,0.9977
8,2020-12-11,0.9969
9,2020-12-18,0.9984
10,2020-12-21,0.9989
11,2020-12-22,0.9974
12,2020-12-23,0.9974
13,2020-12-24,0.9987
14,2020-12-25,1.0032
15,2020-12-28,1.0021
16,2020-12-29,1.0004
17,2020-12-30,1.0042
18,2020-12-31,1.0073
19,2021-01-04,1.0046
20,2021-01-05,1.013
21,2021-01-06,1.0172
22,2021-01-07,1.0243
23,2021-01-08,1.02
24,2021-01-11,1.0206
25,2021-01-12,1.0317
26,2021-01-13,1.0205
27,2021-01-14,1.0151
28,2021-01-15,1.0142
29,2021-01-18,1.0247
30,2021-01-19,1.0122
31,2021-01-20,1.0645
32,2021-01-21,1.078
33,2021-01-22,1.1271
34,2021-01-25,1.1462
35,2021-01-26,1.1009
36,2021-01-27,1.0917
37,2021-01-28,1.0555
38,2021-01-29,1.0555
39,2021-02-01,1.0772
40,2021-02-02,1.0931
41,2021-02-03,1.106
42,2021-02-04,1.0889
43,2021-02-05,1.1125
44,2021-02-08,1.1363
45,2021-02-09,1.1554
46,2021-02-10,1.1822
47,2021-02-18,1.12
48,2021-02-19,1.1273
49,2021-02-22,1.0597
50,2021-02-23,1.0489
51,2021-02-24,1.0052
52,2021-02-25,1.0079
53,2021-02-26,0.9738
54,2021-03-01,0.9894
55,2021-03-02,0.9713
56,2021-03-03,0.9853
57,2021-03-04,0.936
58,2021-03-05,0.9305
59,2021-03-08,0.8676
60,2021-03-09,0.8497
61,2021-03-10,0.8837
62,2021-03-11,0.9149
63,2021-03-12,0.9125
64,2021-03-15,0.8673
65,2021-03-16,0.8823
66,2021-03-17,0.8988
67,2021-03-18,0.9158
68,2021-03-19,0.89
69,2021-03-22,0.8903
70,2021-03-23,0.8821
71,2021-03-24,0.8824
72,2021-03-25,0.9006
73,2021-03-26,0.935
74,2021-03-29,0.9328
75,2021-03-30,0.9609
76,2021-03-31,0.9514
77,2021-04-01,0.9847
78,2021-04-02,0.9927
79,2021-04-06,0.9806
80,2021-04-07,0.9746
81,2021-04-08,0.9948
82,2021-04-09,0.9801
83,2021-04-12,0.9504
84,2021-04-13,0.9611
85,2021-04-14,0.9689
86,2021-04-15,0.9644
87,2021-04-16,0.9576
88,2021-04-19,0.9863
89,2021-04-20,0.9972
90,2021-04-21,1.0127
91,2021-04-22,1.0151
92,2021-04-23,1.0474
93,2021-04-26,1.0272
94,2021-04-27,1.0498
95,2021-04-28,1.0721
96,2021-04-29,1.0723
97,2021-04-30,1.0733
98,2021-05-06,1.0427
99,2021-05-07,1.0055
100,2021-05-10,1.0178
101,2021-05-11,1.0402
102,2021-05-12,1.0647
103,2021-05-13,1.0689
104,2021-05-14,1.0816
105,2021-05-17,1.1136
106,2021-05-18,1.1094
107,2021-05-19,1.0994
108,2021-05-20,1.1155
109,2021-05-21,1.1186
110,2021-05-24,1.118
111,2021-05-25,1.1495
112,2021-05-26,1.1408
113,2021-05-27,1.1539
114,2021-05-28,1.1243
115,2021-05-31,1.1456
116,2021-06-01,1.176
117,2021-06-02,1.1526
118,2021-06-03,1.1505
119,2021-06-04,1.1629
120,2021-06-07,1.1644
121,2021-06-08,1.1503
122,2021-06-09,1.1646
123,2021-06-10,1.1796
124,2021-06-11,1.1714
125,2021-06-15,1.1643
126,2021-06-16,1.1192
127,2021-06-17,1.1373
128,2021-06-18,1.1625
129,2021-06-21,1.1795
130,2021-06-22,1.206
131,2021-06-23,1.2052
132,2021-06-24,1.1801
133,2021-06-25,1.2158
134,2021-06-28,1.2262
135,2021-06-29,1.216
136,2021-06-30,1.2148
137,2021-07-01,1.2428
138,2021-07-02,1.1743
139,2021-07-05,1.1706
140,2021-07-06,1.1072
141,2021-07-07,1.1532
142,2021-07-08,1.1142
143,2021-07-09,1.1171
144,2021-07-12,1.1592
145,2021-07-13,1.1602
146,2021-07-14,1.1791
147,2021-07-15,1.1824
148,2021-07-16,1.1507
149,2021-07-19,1.1739
150,2021-07-20,1.1725
151,2021-07-21,1.1847
152,2021-07-22,1.1584
153,2021-07-23,1.1167
154,2021-07-26,1.05
155,2021-07-27,1.0185
156,2021-07-28,1.0721
157,2021-07-29,1.1126
158,2021-07-30,1.0718
159,2021-08-02,1.0883
160,2021-08-03,1.1215
161,2021-08-04,1.126
162,2021-08-05,1.1244
163,2021-08-06,1.092
164,2021-08-09,1.099
165,2021-08-10,1.1016
166,2021-08-11,1.0803
167,2021-08-12,1.0592
168,2021-08-13,1.0609
169,2021-08-16,1.0472
170,2021-08-17,0.9952
171,2021-08-18,1.0015
172,2021-08-19,1.0095
173,2021-08-20,0.9477
174,2021-08-23,0.9574
175,2021-08-24,0.9979
176,2021-08-25,1.0058
177,2021-08-26,0.9605
178,2021-08-27,0.9568
179,2021-08-30,0.952
180,2021-08-31,0.9411
181,2021-09-01,0.9453
182,2021-09-02,0.9074
183,2021-09-03,0.9088
184,2021-09-06,0.9653
185,2021-09-07,0.9645
186,2021-09-08,0.9533
187,2021-09-09,0.9579
188,2021-09-10,0.9598
189,2021-09-13,0.9489
190,2021-09-14,0.9757
191,2021-09-15,0.9748
192,2021-09-16,0.978
193,2021-09-17,1.0306
194,2021-09-22,1.0349
195,2021-09-23,1.0263
196,2021-09-24,1.0324
197,2021-09-27,1.0449
198,2021-09-28,1.0438
199,2021-09-29,1.031
200,2021-09-30,1.053
201,2021-10-08,1.0305
202,2021-10-11,1.0062
203,2021-10-12,1.0044
204,2021-10-13,1.0313
205,2021-10-14,1.006
206,2021-10-15,1.0013
207,2021-10-18,0.9925
208,2021-10-19,1.0132
209,2021-10-20,0.996
210,2021-10-21,0.9936
211,2021-10-22,0.9877
212,2021-10-25,1.003
213,2021-10-26,0.991
214,2021-10-27,0.971
215,2021-10-28,0.9652
216,2021-10-29,0.9865
217,2021-11-01,0.9482
218,2021-11-02,0.9377
219,2021-11-03,0.9324
220,2021-11-04,0.919
221,2021-11-05,0.9145
222,2021-11-08,0.8953
223,2021-11-09,0.9243
224,2021-11-10,0.9361
225,2021-11-11,0.9404
226,2021-11-12,0.9405
227,2021-11-15,0.9509
228,2021-11-16,0.9834
229,2021-11-17,0.9883
230,2021-11-18,0.9651
231,2021-11-19,0.9598
232,2021-11-22,0.9518
233,2021-11-23,0.9484
234,2021-11-24,0.961
235,2021-11-25,0.9676
236,2021-11-26,0.9731
237,2021-11-29,0.9714
238,2021-11-30,0.9664
239,2021-12-01,0.9514
240,2021-12-02,0.9349
241,2021-12-03,0.9379
242,2021-12-06,0.9125
243,2021-12-07,0.919
244,2021-12-08,0.9412
245,2021-12-09,0.968
246,2021-12-10,0.9542
247,2021-12-13,0.9426
248,2021-12-14,0.9458
249,2021-12-15,0.895
250,2021-12-16,0.9087
251,2021-12-17,0.8948
252,2021-12-20,0.8638
253,2021-12-21,0.8767
254,2021-12-22,0.8738
255,2021-12-23,0.8678
256,2021-12-24,0.8616
257,2021-12-27,0.8711
258,2021-12-28,0.8784
259,2021-12-29,0.8694
260,2021-12-30,0.8777
261,2021-12-31,0.8741
262,2022-01-04,0.8289
263,2022-01-05,0.8085
264,2022-01-06,0.7957
265,2022-01-07,0.7871
266,2022-01-10,0.7957
267,2022-01-11,0.7989
268,2022-01-12,0.8141
269,2022-01-13,0.8013
270,2022-01-14,0.7969
271,2022-01-17,0.803
272,2022-01-18,0.8046
273,2022-01-19,0.7826
274,2022-01-20,0.7737
275,2022-01-21,0.7618
276,2022-01-24,0.7646
277,2022-01-25,0.7499
278,2022-01-26,0.7266
279,2022-01-27,0.7132
280,2022-01-28,0.7088
281,2022-02-07,0.7184
282,2022-02-08,0.69
283,2022-02-09,0.696
284,2022-02-10,0.6779
285,2022-02-11,0.6536
286,2022-02-14,0.6674
287,2022-02-15,0.7125
288,2022-02-16,0.7162
289,2022-02-17,0.7179
290,2022-02-18,0.7172
291,2022-02-21,0.7155
292,2022-02-22,0.6973
293,2022-02-23,0.7143
294,2022-02-24,0.7048
295,2022-02-25,0.7381
296,2022-02-28,0.738
297,2022-03-01,0.746
298,2022-03-02,0.7336
299,2022-03-03,0.7256
300,2022-03-04,0.7234
301,2022-03-07,0.6994
302,2022-03-08,0.6843
303,2022-03-09,0.6644
304,2022-03-10,0.6955
305,2022-03-11,0.6995
306,2022-03-14,0.6751
