,date,value
0,2017-02-28,1.0
1,2017-03-03,0.9999
2,2017-03-09,0.9999
3,2017-03-10,0.9997
4,2017-03-15,0.9999
5,2017-03-16,0.9965
6,2017-03-17,0.9967
7,2017-03-20,0.998
8,2017-03-21,0.9983
9,2017-03-22,0.9957
10,2017-03-23,0.9949
11,2017-03-24,0.9941
12,2017-03-27,0.9917
13,2017-03-28,0.9945
14,2017-03-29,0.9977
15,2017-03-30,1.001
16,2017-03-31,1.0032
17,2017-04-05,0.9937
18,2017-04-06,1.0007
19,2017-04-07,0.9986
20,2017-04-10,1.0068
21,2017-04-11,1.0056
22,2017-04-12,1.0001
23,2017-04-13,0.984
24,2017-04-17,0.9893
25,2017-04-18,0.9812
26,2017-04-19,0.966
27,2017-04-20,0.9703
28,2017-04-21,0.972
29,2017-04-24,0.9743
30,2017-04-25,0.9851
31,2017-04-26,0.981
32,2017-04-27,0.9711
33,2017-04-28,0.9702
34,2017-05-02,0.9645
35,2017-05-03,0.9616
36,2017-05-04,0.9462
37,2017-05-05,0.9645
38,2017-05-08,0.9721
39,2017-05-09,0.9665
40,2017-05-10,0.9827
41,2017-05-11,0.9791
42,2017-05-12,0.9774
43,2017-05-15,0.9808
44,2017-05-16,0.9738
45,2017-05-17,0.9623
46,2017-05-18,0.9583
47,2017-05-19,0.9781
48,2017-05-22,0.9711
49,2017-05-23,0.969
50,2017-05-24,0.966
51,2017-05-25,0.9456
52,2017-05-26,0.9475
53,2017-05-31,0.9245
54,2017-06-01,0.9233
55,2017-06-02,0.911
56,2017-06-05,0.9072
57,2017-06-06,0.9189
58,2017-06-07,0.8954
59,2017-06-08,0.8934
60,2017-06-09,0.9192
61,2017-06-12,0.9221
62,2017-06-13,0.9351
63,2017-06-14,0.9105
64,2017-06-15,0.8962
65,2017-06-16,0.9086
66,2017-06-19,0.9063
67,2017-06-20,0.8968
68,2017-06-21,0.882
69,2017-06-22,0.8829
70,2017-06-23,0.8952
71,2017-06-26,0.8948
72,2017-06-27,0.8951
73,2017-06-28,0.8986
74,2017-06-29,0.9052
75,2017-06-30,0.9069
76,2017-07-03,0.9243
77,2017-07-05,0.9039
78,2017-07-06,0.8903
79,2017-07-07,0.8892
80,2017-07-10,0.8985
81,2017-07-11,0.904
82,2017-07-12,0.9026
83,2017-07-13,0.9061
84,2017-07-14,0.911
85,2017-07-17,0.9082
86,2017-07-18,0.9028
87,2017-07-19,0.9219
88,2017-07-20,0.9117
89,2017-07-21,0.9051
90,2017-07-24,0.9059
91,2017-07-25,0.9269
92,2017-07-26,0.9247
93,2017-07-27,0.9332
94,2017-07-28,0.9295
95,2017-07-31,0.927
96,2017-08-01,0.9214
97,2017-08-02,0.9108
98,2017-08-03,0.8833
99,2017-08-04,0.8961
100,2017-08-07,0.8832
101,2017-08-08,0.8851
102,2017-08-09,0.8824
103,2017-08-10,0.866
104,2017-08-11,0.8634
105,2017-08-14,0.8568
106,2017-08-15,0.855
107,2017-08-16,0.8444
108,2017-08-17,0.83
109,2017-08-18,0.8369
110,2017-08-21,0.8294
111,2017-08-22,0.8352
112,2017-08-23,0.8429
113,2017-08-24,0.8435
114,2017-08-25,0.8446
115,2017-08-28,0.8383
116,2017-08-29,0.8343
117,2017-08-30,0.836
118,2017-08-31,0.8436
119,2017-09-01,0.8546
120,2017-09-05,0.8432
121,2017-09-06,0.8538
122,2017-09-07,0.8532
123,2017-09-08,0.836
124,2017-09-11,0.8429
125,2017-09-12,0.8553
126,2017-09-13,0.875
127,2017-09-14,0.8793
128,2017-09-15,0.8846
129,2017-09-18,0.8902
130,2017-09-19,0.8946
131,2017-09-20,0.9099
132,2017-09-21,0.9177
133,2017-09-22,0.9238
134,2017-09-25,0.9435
135,2017-09-26,0.9464
136,2017-09-27,0.9529
137,2017-09-28,0.9516
138,2017-09-29,0.9534
139,2017-10-09,0.9514
140,2017-10-10,0.9461
141,2017-10-11,0.9428
142,2017-10-12,0.939
143,2017-10-13,0.9387
144,2017-10-16,0.9376
145,2017-10-17,0.9409
146,2017-10-18,0.9378
147,2017-10-19,0.9348
148,2017-10-20,0.9399
149,2017-10-23,0.9308
150,2017-10-24,0.9327
151,2017-10-25,0.9232
152,2017-10-26,0.9272
153,2017-10-27,0.9487
154,2017-10-30,0.954
155,2017-10-31,0.9606
156,2017-11-01,0.9817
157,2017-11-02,0.9791
158,2017-11-03,0.9874
159,2017-11-06,1.0179
160,2017-11-07,1.0143
161,2017-11-08,1.0068
162,2017-11-09,1.0112
163,2017-11-10,1.0059
164,2017-11-13,0.9967
165,2017-11-14,0.9753
166,2017-11-15,0.9632
167,2017-11-16,0.965
168,2017-11-17,0.9736
169,2017-11-20,0.9677
170,2017-11-21,0.972
171,2017-11-22,0.9755
172,2017-11-24,0.9701
173,2017-11-27,0.9538
174,2017-11-28,0.9618
175,2017-11-29,0.9669
176,2017-11-30,0.9846
177,2017-12-01,0.9948
178,2017-12-04,0.9867
