,date,value
0,2015-05-20,1.0
1,2015-05-21,1.002
2,2015-05-22,1.007
3,2015-05-27,1.078
4,2015-05-28,0.997
5,2015-05-29,0.995
6,2015-06-01,1.053
7,2015-06-02,1.068
8,2015-06-03,1.072
9,2015-06-04,1.134
10,2015-06-05,1.15
11,2015-06-08,1.152
12,2015-06-09,1.175
13,2015-06-10,1.165
14,2015-06-11,1.165
15,2015-06-12,1.187
16,2015-06-15,1.178
17,2015-06-16,1.144
18,2015-06-17,1.169
19,2015-06-18,1.137
20,2015-06-19,1.049
21,2015-06-23,1.065
22,2015-06-24,1.111
23,2015-06-25,1.062
24,2015-06-26,0.974
25,2015-06-29,0.925
26,2015-06-30,0.97
27,2015-07-01,0.897
28,2015-07-02,0.821
29,2015-07-03,0.747
30,2015-07-06,0.714
31,2015-07-07,0.668
32,2015-07-08,0.626
33,2015-07-09,1.0
34,2015-07-10,1.058
35,2015-07-13,1.128
36,2015-07-14,1.114
37,2015-07-15,1.04
38,2015-07-16,1.06
39,2015-07-17,1.124
40,2015-07-20,1.142
41,2015-07-21,1.159
42,2015-07-22,1.178
43,2015-07-23,1.213
44,2015-07-24,1.207
45,2015-07-27,1.103
46,2015-07-28,1.063
47,2015-07-29,1.116
48,2015-07-30,1.084
49,2015-07-31,1.072
50,2015-08-03,1.082
51,2015-08-04,1.132
52,2015-08-05,1.113
53,2015-08-06,1.115
54,2015-08-07,1.142
55,2015-08-10,1.205
56,2015-08-11,1.214
57,2015-08-12,1.214
58,2015-08-13,1.239
59,2015-08-14,1.249
60,2015-08-17,1.279
61,2015-08-18,1.174
62,2015-08-19,1.199
63,2015-08-20,1.156
64,2015-08-21,1.093
65,2015-08-24,0.992
66,2015-08-25,0.896
67,2015-08-26,0.851
68,2015-08-27,0.89
69,2015-08-28,0.959
70,2015-08-31,0.936
71,2015-09-01,0.911
72,2015-09-02,0.878
73,2015-09-07,0.879
74,2015-09-08,0.908
75,2015-09-09,0.942
