,date,value
0,2015-05-27,1.0
1,2015-05-29,0.995
2,2015-06-04,0.997
3,2015-06-05,1.012
4,2015-06-08,1.038
5,2015-06-09,1.027
6,2015-06-10,1.043
7,2015-06-11,1.048
8,2015-06-12,1.075
9,2015-06-15,1.083
10,2015-06-16,1.049
11,2015-06-17,1.066
12,2015-06-18,1.025
13,2015-06-19,0.963
14,2015-06-23,1.021
15,2015-06-24,1.083
16,2015-06-25,1.061
17,2015-06-26,0.998
18,2015-06-29,1.023
19,2015-06-30,1.053
20,2015-07-01,1.015
21,2015-07-02,0.948
22,2015-07-03,0.886
23,2015-07-06,0.874
24,2015-07-07,0.825
25,2015-07-08,0.777
26,2015-07-09,0.849
27,2015-07-10,0.915
28,2015-07-13,0.951
29,2015-07-14,0.906
30,2015-07-15,0.855
31,2015-07-16,0.872
32,2015-07-17,0.909
33,2015-07-20,0.895
34,2015-07-21,0.902
35,2015-07-22,0.901
36,2015-07-23,0.923
37,2015-07-24,0.911
38,2015-07-27,0.827
39,2015-07-28,0.836
40,2015-07-29,0.86
41,2015-07-30,0.846
42,2015-07-31,0.857
43,2015-08-03,0.865
44,2015-08-04,0.892
45,2015-08-05,0.869
46,2015-08-06,0.858
47,2015-08-07,0.874
48,2015-08-10,0.907
49,2015-08-11,0.905
50,2015-08-12,0.893
51,2015-08-13,0.899
52,2015-08-14,0.904
53,2015-08-17,0.906
54,2015-08-18,0.847
55,2015-08-19,0.867
56,2015-08-20,0.849
57,2015-08-21,0.797
58,2015-08-24,0.724
59,2015-08-25,0.693
60,2015-08-26,0.699
61,2015-08-27,0.733
62,2015-08-28,0.754
63,2015-08-31,0.741
64,2015-09-01,0.723
65,2015-09-02,0.727
66,2015-09-07,0.708
67,2015-09-08,0.725
68,2015-09-09,0.744
69,2015-09-10,0.735
70,2015-09-11,0.733
71,2015-09-14,0.711
72,2015-09-15,0.697
73,2015-09-16,0.73
74,2015-09-17,0.71
75,2015-09-18,0.712
76,2015-09-21,0.726
77,2015-09-22,0.733
78,2015-09-23,0.714
79,2015-09-24,0.722
80,2015-09-25,0.712
81,2015-09-28,0.712
82,2015-09-29,0.708
83,2015-09-30,0.713
84,2015-10-08,0.737
85,2015-10-09,0.742
86,2015-10-12,0.765
87,2015-10-13,0.766
88,2015-10-14,0.759
89,2015-10-15,0.772
90,2015-10-16,0.775
91,2015-10-19,0.774
92,2015-10-20,0.779
93,2015-10-21,0.749
94,2015-10-22,0.762
95,2015-10-23,0.79
96,2015-10-26,0.799
97,2015-10-27,0.796
98,2015-10-28,0.79
99,2015-10-29,0.802
100,2015-10-30,0.804
101,2015-11-02,0.805
102,2015-11-03,0.802
103,2015-11-04,0.835
104,2015-11-05,0.847
105,2015-11-06,0.854
106,2015-11-09,0.857
107,2015-11-10,0.854
108,2015-11-11,0.853
109,2015-11-12,0.847
110,2015-11-13,0.83
111,2015-11-16,0.837
112,2015-11-17,0.841
113,2015-11-18,0.835
114,2015-11-19,0.841
115,2015-11-20,0.84
116,2015-11-23,0.833
117,2015-11-24,0.83
118,2015-11-25,0.837
119,2015-11-26,0.83
120,2015-11-27,0.795
121,2015-11-30,0.799
122,2015-12-01,0.813
123,2015-12-02,0.838
124,2015-12-03,0.839
125,2015-12-04,0.829
126,2015-12-07,0.829
127,2015-12-08,0.807
128,2015-12-09,0.808
129,2015-12-10,0.803
130,2015-12-11,0.804
131,2015-12-14,0.819
132,2015-12-15,0.811
133,2015-12-16,0.804
134,2015-12-17,0.818
135,2015-12-18,0.836
136,2015-12-21,0.886
137,2015-12-22,0.88
138,2015-12-23,0.87
139,2015-12-24,0.872
140,2015-12-25,0.863
141,2015-12-28,0.847
142,2015-12-29,0.863
143,2015-12-30,0.866
144,2015-12-31,0.869
145,2016-01-04,0.809
146,2016-01-05,0.816
147,2016-01-06,0.83
148,2016-01-07,0.772
149,2016-01-08,0.783
150,2016-01-11,0.737
151,2016-01-12,0.736
152,2016-01-13,0.73
153,2016-01-14,0.745
154,2016-01-15,0.723
155,2016-01-18,0.73
156,2016-01-19,0.756
157,2016-01-20,0.74
158,2016-01-21,0.722
159,2016-01-22,0.727
160,2016-01-25,0.739
161,2016-01-26,0.71
162,2016-01-27,0.706
163,2016-01-28,0.684
164,2016-01-29,0.707
165,2016-02-01,0.71
166,2016-02-02,0.721
167,2016-02-03,0.72
168,2016-02-04,0.725
169,2016-02-05,0.712
170,2016-02-15,0.7
171,2016-02-16,0.719
172,2016-02-17,0.719
173,2016-02-18,0.713
174,2016-02-19,0.711
175,2016-02-22,0.728
176,2016-02-23,0.747
177,2016-02-24,0.749
178,2016-02-25,0.706
179,2016-02-26,0.718
180,2016-02-29,0.691
181,2016-03-01,0.706
182,2016-03-02,0.738
183,2016-03-03,0.749
184,2016-03-04,0.764
185,2016-03-07,0.771
186,2016-03-08,0.765
187,2016-03-09,0.755
188,2016-03-10,0.762
189,2016-03-11,0.757
190,2016-03-14,0.761
191,2016-03-15,0.762
192,2016-03-16,0.756
193,2016-03-17,0.768
194,2016-03-18,0.777
195,2016-03-21,0.787
196,2016-03-22,0.791
197,2016-03-23,0.79
198,2016-03-24,0.8
199,2016-03-25,0.81
200,2016-03-28,0.829
201,2016-03-29,0.811
202,2016-03-30,0.824
203,2016-03-31,0.822
204,2016-04-01,0.813
205,2016-04-05,0.82
206,2016-04-06,0.84
207,2016-04-07,0.821
208,2016-04-08,0.81
209,2016-04-11,0.812
210,2016-04-12,0.81
211,2016-04-13,0.813
212,2016-04-14,0.82
213,2016-04-15,0.819
214,2016-04-18,0.806
215,2016-04-19,0.805
216,2016-04-20,0.785
217,2016-04-21,0.788
218,2016-04-22,0.804
219,2016-04-25,0.81
220,2016-04-26,0.815
221,2016-04-27,0.818
222,2016-04-28,0.818
223,2016-04-29,0.837
224,2016-05-03,0.895
225,2016-05-04,0.888
226,2016-05-05,0.892
227,2016-05-06,0.859
228,2016-05-09,0.857
229,2016-05-10,0.864
230,2016-05-11,0.882
231,2016-05-12,0.878
232,2016-05-13,0.873
233,2016-05-16,0.882
234,2016-05-17,0.866
235,2016-05-18,0.853
236,2016-05-19,0.847
237,2016-05-20,0.858
238,2016-05-23,0.869
239,2016-05-24,0.851
240,2016-05-25,0.844
241,2016-05-26,0.841
242,2016-05-27,0.844
243,2016-05-30,0.845
244,2016-05-31,0.873
245,2016-06-01,0.875
246,2016-06-02,0.888
247,2016-06-03,0.924
248,2016-06-06,0.92
249,2016-06-07,0.931
250,2016-06-08,0.915
251,2016-06-13,0.887
252,2016-06-14,0.913
253,2016-06-15,0.935
254,2016-06-16,0.942
255,2016-06-17,0.965
256,2016-06-20,0.957
257,2016-06-21,0.942
258,2016-06-22,0.951
259,2016-06-23,0.947
260,2016-06-24,0.936
261,2016-06-27,0.968
262,2016-06-28,0.966
263,2016-06-29,0.959
264,2016-06-30,0.971
265,2016-07-01,0.964
266,2016-07-04,0.975
267,2016-07-05,0.985
268,2016-07-06,1.05
269,2016-07-07,1.032
270,2016-07-08,1.034
271,2016-07-11,1.061
272,2016-07-12,1.073
273,2016-07-13,1.051
274,2016-07-14,1.045
275,2016-07-15,1.048
276,2016-07-18,1.034
277,2016-07-19,1.007
278,2016-07-20,1.006
279,2016-07-21,1.013
280,2016-07-22,0.991
281,2016-07-25,0.998
282,2016-07-26,1.024
283,2016-07-27,0.998
284,2016-07-28,1.008
285,2016-07-29,1.009
286,2016-08-01,0.973
287,2016-08-02,0.974
288,2016-08-03,0.975
289,2016-08-04,0.976
290,2016-08-05,0.97
291,2016-08-08,0.984
292,2016-08-09,1.002
293,2016-08-10,0.997
294,2016-08-11,0.998
295,2016-08-12,1.0
296,2016-08-15,1.019
297,2016-08-16,1.004
298,2016-08-17,1.004
299,2016-08-18,0.998
300,2016-08-19,0.993
301,2016-08-22,0.991
302,2016-08-23,0.988
303,2016-08-24,0.984
304,2016-08-25,0.978
305,2016-08-26,0.975
306,2016-08-29,0.973
307,2016-08-30,0.975
308,2016-08-31,0.985
309,2016-09-01,0.973
310,2016-09-02,0.962
311,2016-09-05,0.966
312,2016-09-06,0.975
313,2016-09-07,0.967
314,2016-09-08,0.965
315,2016-09-09,0.956
316,2016-09-12,0.925
317,2016-09-13,0.93
318,2016-09-14,0.925
319,2016-09-19,0.933
320,2016-09-20,0.927
321,2016-09-21,0.927
322,2016-09-22,0.941
323,2016-09-23,0.939
324,2016-09-26,0.914
325,2016-09-27,0.923
326,2016-09-28,0.918
327,2016-09-29,0.923
328,2016-09-30,0.94
329,2016-10-10,0.954
330,2016-10-11,0.957
331,2016-10-12,0.955
332,2016-10-13,0.948
333,2016-10-14,0.949
334,2016-10-17,0.949
335,2016-10-18,0.97
336,2016-10-19,0.971
337,2016-10-20,0.966
338,2016-10-21,0.962
339,2016-10-24,0.967
340,2016-10-25,0.992
341,2016-10-26,1.01
342,2016-10-27,1.007
343,2016-10-28,1.007
344,2016-10-31,1.002
345,2016-11-01,1.014
346,2016-11-02,0.999
347,2016-11-03,1.002
348,2016-11-04,0.99
349,2016-11-07,0.989
350,2016-11-08,1.004
351,2016-11-09,0.997
352,2016-11-10,1.006
353,2016-11-11,1.0
354,2016-11-14,0.994
355,2016-11-15,1.006
356,2016-11-16,0.998
357,2016-11-17,0.993
358,2016-11-18,0.988
359,2016-11-21,0.987
360,2016-11-22,0.99
361,2016-11-23,1.003
362,2016-11-24,1.005
363,2016-11-25,1.003
364,2016-11-28,1.005
365,2016-11-29,1.023
366,2016-11-30,1.006
367,2016-12-01,1.007
368,2016-12-02,0.998
369,2016-12-05,0.992
370,2016-12-06,1.007
371,2016-12-07,1.008
372,2016-12-08,1.024
373,2016-12-09,1.025
374,2016-12-12,0.991
375,2016-12-13,1.017
376,2016-12-14,1.013
377,2016-12-15,0.981
378,2016-12-16,0.98
379,2016-12-19,0.989
380,2016-12-20,0.98
381,2016-12-21,0.983
382,2016-12-22,0.973
383,2016-12-23,0.955
384,2016-12-26,0.959
385,2016-12-27,0.96
386,2016-12-28,0.957
387,2016-12-29,0.96
388,2016-12-30,0.979
389,2016-12-31,0.979
390,2017-01-03,0.982
391,2017-01-04,1.011
392,2017-01-05,1.008
393,2017-01-06,1.009
394,2017-01-09,1.009
395,2017-01-10,1.008
396,2017-01-11,0.994
397,2017-01-12,0.987
398,2017-01-13,0.982
399,2017-01-16,0.975
400,2017-01-17,0.989
401,2017-01-18,1.005
402,2017-01-19,0.997
403,2017-01-20,1.001
404,2017-01-23,1.003
405,2017-01-24,1.004
406,2017-01-25,1.001
407,2017-01-26,0.995
408,2017-02-03,0.989
409,2017-02-06,0.994
410,2017-02-07,0.993
411,2017-02-08,0.999
412,2017-02-09,1.013
413,2017-02-10,1.019
414,2017-02-13,1.052
415,2017-02-14,1.059
416,2017-02-15,1.051
417,2017-02-16,1.052
418,2017-02-17,1.061
419,2017-02-20,1.104
420,2017-02-21,1.101
421,2017-02-22,1.118
422,2017-02-23,1.107
423,2017-02-24,1.106
424,2017-02-27,1.082
425,2017-02-28,1.085
426,2017-03-01,1.094
427,2017-03-02,1.099
428,2017-03-03,1.105
429,2017-03-06,1.111
430,2017-03-07,1.135
431,2017-03-08,1.128
432,2017-03-09,1.121
433,2017-03-10,1.124
434,2017-03-13,1.143
435,2017-03-14,1.134
436,2017-03-15,1.138
437,2017-03-16,1.135
438,2017-03-17,1.135
439,2017-03-20,1.143
440,2017-03-21,1.184
441,2017-03-22,1.189
442,2017-03-23,1.175
443,2017-03-24,1.17
444,2017-03-27,1.149
445,2017-03-28,1.15
446,2017-03-29,1.158
447,2017-03-30,1.149
448,2017-03-31,1.151
449,2017-04-05,1.161
450,2017-04-06,1.16
451,2017-04-07,1.153
452,2017-04-10,1.124
453,2017-04-11,1.12
454,2017-04-12,1.134
455,2017-04-13,1.151
456,2017-04-14,1.138
457,2017-04-17,1.146
458,2017-04-18,1.172
459,2017-04-19,1.174
460,2017-04-20,1.211
461,2017-04-21,1.19
462,2017-04-24,1.163
463,2017-04-25,1.2
464,2017-04-26,1.189
465,2017-04-27,1.195
466,2017-04-28,1.159
467,2017-05-02,1.146
468,2017-05-03,1.155
469,2017-05-04,1.151
470,2017-05-05,1.144
471,2017-05-08,1.12
472,2017-05-09,1.132
473,2017-05-10,1.128
474,2017-05-11,1.137
475,2017-05-12,1.141
476,2017-05-15,1.161
477,2017-05-16,1.196
478,2017-05-17,1.177
479,2017-05-18,1.175
480,2017-05-19,1.185
481,2017-05-22,1.181
482,2017-05-23,1.208
483,2017-05-24,1.198
484,2017-05-25,1.198
485,2017-05-26,1.201
486,2017-05-31,1.196
487,2017-06-01,1.199
488,2017-06-02,1.192
489,2017-06-05,1.18
490,2017-06-06,1.199
491,2017-06-07,1.233
492,2017-06-08,1.244
493,2017-06-09,1.254
494,2017-06-12,1.285
495,2017-06-13,1.282
496,2017-06-14,1.272
497,2017-06-15,1.249
498,2017-06-16,1.245
499,2017-06-19,1.252
500,2017-06-20,1.248
501,2017-06-21,1.274
502,2017-06-22,1.268
503,2017-06-23,1.272
504,2017-06-26,1.308
505,2017-06-27,1.307
506,2017-06-28,1.284
507,2017-06-29,1.283
508,2017-06-30,1.286
509,2017-07-03,1.265
510,2017-07-04,1.249
511,2017-07-05,1.263
512,2017-07-06,1.257
513,2017-07-07,1.246
514,2017-07-10,1.256
515,2017-07-11,1.268
516,2017-07-12,1.251
517,2017-07-13,1.257
518,2017-07-14,1.27
519,2017-07-17,1.238
520,2017-07-18,1.247
521,2017-07-19,1.267
522,2017-07-20,1.29
523,2017-07-21,1.31
524,2017-07-24,1.333
525,2017-07-25,1.327
526,2017-07-26,1.311
527,2017-07-27,1.322
528,2017-07-28,1.38
529,2017-07-31,1.397
530,2017-08-01,1.403
531,2017-08-02,1.386
532,2017-08-03,1.37
533,2017-08-04,1.359
534,2017-08-07,1.406
535,2017-08-08,1.4
536,2017-08-09,1.446
537,2017-08-10,1.459
538,2017-08-11,1.422
539,2017-08-14,1.441
540,2017-08-15,1.44
541,2017-08-16,1.434
542,2017-08-17,1.418
543,2017-08-18,1.413
544,2017-08-21,1.406
545,2017-08-22,1.38
546,2017-08-23,1.396
547,2017-08-24,1.372
548,2017-08-25,1.385
549,2017-08-28,1.402
550,2017-08-29,1.408
551,2017-08-30,1.419
552,2017-08-31,1.41
553,2017-09-01,1.415
554,2017-09-04,1.398
555,2017-09-05,1.399
556,2017-09-06,1.387
557,2017-09-07,1.379
558,2017-09-08,1.356
559,2017-09-11,1.37
560,2017-09-12,1.407
561,2017-09-13,1.437
562,2017-09-14,1.435
563,2017-09-15,1.427
564,2017-09-18,1.469
