,date,value
0,2015-05-27,1.0
1,2015-05-29,1.001
2,2015-06-04,1.03
3,2015-06-05,1.027
4,2015-06-08,1.011
5,2015-06-09,1.005
6,2015-06-10,1.028
7,2015-06-11,1.054
8,2015-06-12,1.062
9,2015-06-15,1.013
10,2015-06-16,0.965
11,2015-06-17,0.981
12,2015-06-18,0.941
13,2015-06-19,0.894
14,2015-06-23,0.905
15,2015-06-24,0.919
16,2015-06-25,0.901
17,2015-06-26,0.836
18,2015-06-29,0.769
19,2015-06-30,0.822
20,2015-07-01,0.785
21,2015-07-02,0.741
22,2015-07-03,0.702
23,2015-07-06,0.671
24,2015-07-07,0.632
25,2015-07-08,0.609
26,2015-07-09,1.0
27,2015-07-10,1.043
28,2015-07-13,1.108
29,2015-07-14,1.176
30,2015-07-15,1.106
31,2015-07-16,1.146
32,2015-07-17,1.226
33,2015-07-20,1.249
34,2015-07-21,1.288
35,2015-07-22,1.293
36,2015-07-23,1.333
37,2015-07-24,1.307
38,2015-07-27,1.19
39,2015-07-28,1.167
40,2015-07-29,1.219
41,2015-07-30,1.172
42,2015-07-31,1.169
43,2015-08-03,1.149
44,2015-08-04,1.202
45,2015-08-05,1.187
46,2015-08-06,1.168
47,2015-08-07,1.204
48,2015-08-10,1.262
49,2015-08-11,1.25
50,2015-08-12,1.224
51,2015-08-13,1.238
52,2015-08-14,1.254
53,2015-08-17,1.29
54,2015-08-18,1.21
55,2015-08-19,1.254
56,2015-08-20,1.189
57,2015-08-21,1.12
58,2015-08-24,1.017
59,2015-08-25,0.927
60,2015-08-26,0.906
61,2015-08-27,0.947
62,2015-08-28,1.003
63,2015-08-31,0.956
64,2015-09-01,0.896
65,2015-09-02,0.889
66,2015-09-07,0.896
67,2015-09-08,0.94
68,2015-09-09,0.966
69,2015-09-10,0.965
70,2015-09-11,0.97
71,2015-09-14,0.909
72,2015-09-15,0.872
73,2015-09-16,0.944
74,2015-09-17,0.928
75,2015-09-18,0.942
76,2015-09-21,0.969
77,2015-09-22,0.974
78,2015-09-23,0.954
79,2015-09-24,0.968
80,2015-09-25,0.936
81,2015-09-28,0.954
82,2015-09-29,0.937
83,2015-09-30,0.939
84,2015-10-08,0.984
85,2015-10-09,0.996
86,2015-10-12,1.036
87,2015-10-13,1.047
88,2015-10-14,1.053
89,2015-10-15,1.082
90,2015-10-16,1.098
91,2015-10-19,1.084
92,2015-10-20,1.1
93,2015-10-21,1.067
94,2015-10-22,1.119
95,2015-10-23,1.154
96,2015-10-26,1.144
97,2015-10-27,1.153
98,2015-10-28,1.12
99,2015-10-29,1.124
100,2015-10-30,1.123
101,2015-11-02,1.094
102,2015-11-03,1.096
103,2015-11-04,1.151
104,2015-11-05,1.14
105,2015-11-06,1.16
106,2015-11-09,1.178
107,2015-11-10,1.178
108,2015-11-11,1.222
109,2015-11-12,1.224
110,2015-11-13,1.204
111,2015-11-16,1.216
112,2015-11-17,1.198
113,2015-11-18,1.171
114,2015-11-19,1.195
115,2015-11-20,1.199
116,2015-11-23,1.211
117,2015-11-24,1.226
118,2015-11-25,1.249
119,2015-11-26,1.23
120,2015-11-27,1.157
121,2015-11-30,1.157
122,2015-12-01,1.16
123,2015-12-02,1.151
124,2015-12-03,1.185
125,2015-12-04,1.185
126,2015-12-07,1.2
127,2015-12-08,1.169
128,2015-12-09,1.156
129,2015-12-10,1.165
130,2015-12-11,1.154
131,2015-12-14,1.163
132,2015-12-15,1.156
133,2015-12-16,1.161
134,2015-12-17,1.175
135,2015-12-18,1.194
136,2015-12-21,1.22
137,2015-12-22,1.232
138,2015-12-23,1.217
