,date,value
0,2022-01-11,1.0
1,2022-01-14,0.9999
2,2022-01-21,0.9992
3,2022-01-28,0.9965
4,2022-02-11,0.99
5,2022-02-18,0.9924
6,2022-02-25,0.9925
7,2022-03-04,0.9879
8,2022-03-11,0.9791
9,2022-03-18,0.9787
10,2022-03-25,0.9673
11,2022-03-31,0.9657
12,2022-04-01,0.9665
13,2022-04-06,0.9582
14,2022-04-07,0.9522
15,2022-04-08,0.9506
16,2022-04-11,0.9373
17,2022-04-12,0.9412
18,2022-04-13,0.936
19,2022-04-14,0.939
20,2022-04-15,0.9383
21,2022-04-18,0.9471
22,2022-04-19,0.9432
23,2022-04-20,0.9373
24,2022-04-21,0.9298
25,2022-04-22,0.9258
26,2022-04-25,0.9054
27,2022-04-26,0.8991
28,2022-04-27,0.915
29,2022-04-28,0.9128
30,2022-04-29,0.931
31,2022-05-05,0.9316
32,2022-05-06,0.9224
33,2022-05-09,0.9222
34,2022-05-10,0.9286
35,2022-05-11,0.9366
36,2022-05-12,0.9367
37,2022-05-13,0.9408
38,2022-05-16,0.9358
39,2022-05-17,0.9476
40,2022-05-18,0.9451
41,2022-05-19,0.9502
42,2022-05-20,0.9552
43,2022-05-23,0.9532
44,2022-05-24,0.935
45,2022-05-25,0.9385
46,2022-05-26,0.942
47,2022-05-27,0.9433
48,2022-05-30,0.9511
49,2022-05-31,0.9597
50,2022-06-01,0.9596
51,2022-06-02,0.9704
52,2022-06-06,0.9885
53,2022-06-07,0.9855
54,2022-06-08,0.9883
55,2022-06-09,0.9799
56,2022-06-10,0.9912
57,2022-06-13,0.9824
58,2022-06-14,0.9764
59,2022-06-15,0.9769
60,2022-06-16,0.9812
61,2022-06-17,0.9951
62,2022-06-20,0.9971
63,2022-06-21,0.9926
64,2022-06-22,0.9852
65,2022-06-23,1.003
66,2022-06-24,1.016
67,2022-06-27,1.0223
68,2022-06-28,1.0318
69,2022-06-29,1.0092
70,2022-06-30,1.0199
71,2022-07-01,1.0172
72,2022-07-04,1.0223
73,2022-07-05,1.0155
74,2022-07-06,1.0108
75,2022-07-07,1.0248
76,2022-07-08,1.019
77,2022-07-11,0.9985
78,2022-07-12,0.9868
79,2022-07-13,0.9913
80,2022-07-14,1.0055
81,2022-07-15,1.0037
82,2022-07-18,1.0101
83,2022-07-19,1.0029
84,2022-07-20,1.0131
85,2022-07-21,1.0108
86,2022-07-22,1.0105
87,2022-07-25,0.9944
88,2022-07-26,1.007
89,2022-07-27,1.0132
90,2022-07-28,1.0115
91,2022-07-29,1.0015
92,2022-08-01,1.0095
93,2022-08-02,1.0024
94,2022-08-03,1.0024
95,2022-08-04,1.004
96,2022-08-05,1.0121
97,2022-08-08,1.0146
98,2022-08-09,1.0176
99,2022-08-10,1.0184
100,2022-08-11,1.0208
101,2022-08-12,1.0175
102,2022-08-15,1.0271
103,2022-08-16,1.0253
104,2022-08-17,1.02
105,2022-08-18,1.0338
106,2022-08-19,1.014
107,2022-08-22,1.0105
108,2022-08-23,1.0172
109,2022-08-24,0.9917
