,date,value
0,2010-08-20,1.0
1,2010-08-27,1.001
2,2010-09-03,1.006
3,2010-09-10,1.006
4,2010-09-17,1.004
5,2010-09-21,1.005
6,2010-09-30,1.007
7,2010-10-08,1.013
8,2010-10-15,0.994
9,2010-10-22,1.01
10,2010-10-26,1.019
11,2010-10-27,1.014
12,2010-10-28,1.013
13,2010-10-29,1.017
14,2010-11-01,1.026
15,2010-11-02,1.024
16,2010-11-03,1.024
17,2010-11-04,1.03
18,2010-11-05,1.033
19,2010-11-08,1.038
20,2010-11-09,1.045
21,2010-11-10,1.058
22,2010-11-11,1.051
23,2010-11-12,1.02
24,2010-11-15,1.042
25,2010-11-16,1.027
26,2010-11-17,1.002
27,2010-11-18,1.01
28,2010-11-19,1.026
29,2010-11-22,1.031
30,2010-11-23,1.022
31,2010-11-24,1.036
32,2010-11-25,1.044
33,2010-11-26,1.042
34,2010-11-29,1.044
35,2010-11-30,1.028
36,2010-12-01,1.024
37,2010-12-02,1.02
38,2010-12-03,1.014
39,2010-12-06,1.002
40,2010-12-07,1.009
41,2010-12-08,1.008
42,2010-12-09,0.993
43,2010-12-10,0.999
44,2010-12-13,1.018
45,2010-12-14,1.021
46,2010-12-15,1.016
47,2010-12-16,1.013
48,2010-12-17,1.01
49,2010-12-20,1.002
50,2010-12-21,1.004
51,2010-12-22,0.995
52,2010-12-23,0.985
53,2010-12-24,0.975
54,2010-12-27,0.958
55,2010-12-28,0.952
56,2010-12-29,0.963
57,2010-12-30,0.966
58,2010-12-31,0.983
59,2011-01-04,0.986
60,2011-01-05,0.98
61,2011-01-06,0.975
62,2011-01-07,0.971
63,2011-01-10,0.952
64,2011-01-11,0.95
65,2011-01-12,0.951
66,2011-01-13,0.957
67,2011-01-14,0.948
68,2011-01-17,0.918
69,2011-01-18,0.927
70,2011-01-19,0.94
71,2011-01-20,0.916
72,2011-01-21,0.911
73,2011-01-24,0.894
74,2011-01-25,0.887
75,2011-01-26,0.897
76,2011-01-27,0.905
77,2011-01-28,0.915
78,2011-01-31,0.923
79,2011-02-01,0.921
80,2011-02-09,0.918
81,2011-02-10,0.94
82,2011-02-11,0.949
83,2011-02-14,0.962
84,2011-02-15,0.957
85,2011-02-16,0.962
86,2011-02-17,0.956
87,2011-02-18,0.952
88,2011-02-21,0.967
89,2011-02-22,0.949
90,2011-02-23,0.952
91,2011-02-24,0.951
92,2011-02-25,0.954
93,2011-02-28,0.967
94,2011-03-01,0.975
95,2011-03-02,0.977
96,2011-03-03,0.964
97,2011-03-04,0.972
98,2011-03-07,0.981
99,2011-03-08,0.986
100,2011-03-09,0.987
101,2011-03-10,0.985
102,2011-03-11,0.979
103,2011-03-14,0.987
104,2011-03-15,0.97
105,2011-03-16,0.98
106,2011-03-17,0.964
107,2011-03-18,0.965
108,2011-03-21,0.957
109,2011-03-22,0.956
110,2011-03-23,0.964
111,2011-03-24,0.961
112,2011-03-25,0.964
113,2011-03-28,0.951
114,2011-03-29,0.934
115,2011-03-30,0.931
116,2011-03-31,0.929
117,2011-04-01,0.933
118,2011-04-06,0.924
119,2011-04-07,0.93
120,2011-04-08,0.943
121,2011-04-11,0.935
122,2011-04-12,0.936
123,2011-04-13,0.95
124,2011-04-14,0.948
125,2011-04-15,0.946
126,2011-04-18,0.945
127,2011-04-19,0.947
128,2011-04-20,0.954
129,2011-04-21,0.956
130,2011-04-22,0.953
131,2011-04-25,0.962
132,2011-04-26,0.95
133,2011-04-27,0.944
134,2011-04-28,0.924
135,2011-04-29,0.935
136,2011-05-03,0.948
137,2011-05-04,0.938
138,2011-05-05,0.95
139,2011-05-06,0.955
140,2011-05-09,0.958
141,2011-05-10,0.955
142,2011-05-11,0.958
143,2011-05-12,0.957
144,2011-05-13,0.956
145,2011-05-16,0.955
146,2011-05-17,0.947
147,2011-05-18,0.955
148,2011-05-19,0.957
149,2011-05-20,0.956
150,2011-05-23,0.928
151,2011-05-24,0.923
152,2011-05-25,0.912
153,2011-05-26,0.907
154,2011-05-27,0.894
155,2011-05-30,0.897
156,2011-05-31,0.905
157,2011-06-01,0.917
