,date,value
0,2009-07-01,1.0
1,2009-07-03,1.009
2,2009-07-10,1.015
3,2009-07-13,1.005
4,2009-07-14,1.025
5,2009-07-15,1.038
6,2009-07-16,1.036
7,2009-07-17,1.038
8,2009-07-20,1.061
9,2009-07-21,1.046
10,2009-07-22,1.071
11,2009-07-23,1.082
12,2009-07-24,1.095
13,2009-07-27,1.114
14,2009-07-28,1.115
15,2009-07-29,1.062
16,2009-07-30,1.081
17,2009-07-31,1.108
18,2009-08-03,1.123
19,2009-08-04,1.126
20,2009-08-05,1.111
21,2009-08-06,1.09
22,2009-08-07,1.06
23,2009-08-10,1.056
24,2009-08-11,1.06
25,2009-08-12,1.014
26,2009-08-13,1.023
27,2009-08-14,0.995
28,2009-08-17,0.939
29,2009-08-18,0.95
30,2009-08-19,0.912
31,2009-08-20,0.951
32,2009-08-21,0.966
33,2009-08-24,0.976
34,2009-08-25,0.95
35,2009-08-26,0.965
36,2009-08-27,0.958
37,2009-08-28,0.931
38,2009-08-31,0.871
39,2009-09-01,0.876
40,2009-09-02,0.888
41,2009-09-03,0.928
42,2009-09-04,0.933
43,2009-09-07,0.938
44,2009-09-08,0.954
45,2009-09-09,0.959
46,2009-09-10,0.951
47,2009-09-11,0.972
48,2009-09-14,0.984
49,2009-09-15,0.985
50,2009-09-16,0.974
51,2009-09-17,0.992
52,2009-09-18,0.961
53,2009-09-21,0.962
54,2009-09-22,0.94
55,2009-09-23,0.923
56,2009-09-24,0.928
57,2009-09-25,0.923
58,2009-09-28,0.901
59,2009-09-29,0.9
60,2009-09-30,0.909
61,2009-10-09,0.949
62,2009-10-12,0.943
63,2009-10-13,0.957
64,2009-10-14,0.967
65,2009-10-15,0.969
66,2009-10-16,0.968
67,2009-10-19,0.988
68,2009-10-20,1.002
69,2009-10-21,0.998
70,2009-10-22,0.992
71,2009-10-23,1.01
72,2009-10-26,1.01
73,2009-10-27,0.983
74,2009-10-28,0.986
75,2009-10-29,0.964
76,2009-10-30,0.975
77,2009-11-02,1.001
78,2009-11-03,1.012
79,2009-11-04,1.017
80,2009-11-05,1.024
81,2009-11-06,1.027
82,2009-11-09,1.029
83,2009-11-10,1.03
84,2009-11-11,1.027
85,2009-11-12,1.027
86,2009-11-13,1.031
87,2009-11-16,1.058
88,2009-11-17,1.06
89,2009-11-18,1.065
90,2009-11-19,1.07
91,2009-11-20,1.066
92,2009-11-23,1.075
93,2009-11-24,1.04
94,2009-11-25,1.061
95,2009-11-26,1.023
96,2009-11-27,0.999
97,2009-11-30,1.03
98,2009-12-01,1.041
99,2009-12-02,1.05
100,2009-12-03,1.049
101,2009-12-04,1.066
102,2009-12-07,1.071
103,2009-12-08,1.06
104,2009-12-09,1.042
105,2009-12-10,1.047
106,2009-12-11,1.045
107,2009-12-14,1.062
108,2009-12-15,1.052
109,2009-12-16,1.047
110,2009-12-17,1.023
111,2009-12-18,1.003
112,2009-12-21,1.005
113,2009-12-22,0.983
114,2009-12-23,0.989
115,2009-12-24,1.013
116,2009-12-25,1.009
117,2009-12-28,1.023
118,2009-12-29,1.03
119,2009-12-30,1.047
120,2009-12-31,1.051
121,2010-01-04,1.04
122,2010-01-05,1.051
123,2010-01-06,1.042
124,2010-01-07,1.024
125,2010-01-08,1.025
126,2010-01-11,1.029
127,2010-01-12,1.048
128,2010-01-13,1.017
129,2010-01-14,1.031
130,2010-01-15,1.033
131,2010-01-18,1.038
132,2010-01-19,1.04
133,2010-01-20,1.012
134,2010-01-21,1.014
135,2010-01-22,1.005
136,2010-01-25,0.994
137,2010-01-26,0.972
138,2010-01-27,0.961
139,2010-01-28,0.963
140,2010-01-29,0.961
141,2010-02-01,0.946
142,2010-02-02,0.944
143,2010-02-03,0.965
144,2010-02-04,0.962
145,2010-02-05,0.944
146,2010-02-08,0.941
147,2010-02-09,0.946
148,2010-02-10,0.957
149,2010-02-11,0.958
150,2010-02-12,0.969
