,date,value
0,2010-09-21,1.0
1,2010-09-30,1.0
2,2010-10-08,1.002
3,2010-10-15,0.981
4,2010-10-22,0.998
5,2010-10-29,1.005
6,2010-11-05,1.028
7,2010-11-12,1.036
8,2010-11-19,1.053
9,2010-11-26,1.094
10,2010-11-30,1.088
11,2010-12-01,1.073
12,2010-12-02,1.069
13,2010-12-03,1.053
14,2010-12-06,1.038
15,2010-12-07,1.055
16,2010-12-08,1.055
17,2010-12-09,1.037
18,2010-12-10,1.048
19,2010-12-13,1.065
20,2010-12-14,1.065
21,2010-12-15,1.066
22,2010-12-16,1.07
23,2010-12-17,1.065
24,2010-12-20,1.047
25,2010-12-21,1.041
26,2010-12-22,1.03
27,2010-12-23,1.023
28,2010-12-24,1.01
29,2010-12-27,0.981
30,2010-12-28,0.969
31,2010-12-29,0.985
32,2010-12-30,0.995
33,2010-12-31,1.01
34,2011-01-04,1.017
35,2011-01-05,1.018
36,2011-01-06,1.009
37,2011-01-07,1.001
38,2011-01-10,0.971
39,2011-01-11,0.959
40,2011-01-12,0.958
41,2011-01-13,0.968
42,2011-01-14,0.957
43,2011-01-17,0.925
44,2011-01-18,0.929
45,2011-01-19,0.947
46,2011-01-20,0.921
47,2011-01-21,0.913
48,2011-01-24,0.883
49,2011-01-25,0.883
50,2011-01-26,0.893
51,2011-01-27,0.908
52,2011-01-28,0.917
53,2011-01-31,0.921
54,2011-02-01,0.924
55,2011-02-09,0.919
56,2011-02-10,0.947
57,2011-02-11,0.951
58,2011-02-14,0.961
59,2011-02-15,0.96
60,2011-02-16,0.964
61,2011-02-17,0.959
62,2011-02-18,0.955
63,2011-02-21,0.965
64,2011-02-22,0.948
65,2011-02-23,0.962
66,2011-02-24,0.962
67,2011-02-25,0.956
68,2011-02-28,0.96
69,2011-03-01,0.967
70,2011-03-02,0.966
71,2011-03-03,0.944
72,2011-03-04,0.943
73,2011-03-07,0.943
74,2011-03-08,0.947
75,2011-03-09,0.947
76,2011-03-10,0.955
77,2011-03-11,0.955
78,2011-03-14,0.978
79,2011-03-15,0.972
80,2011-03-16,0.969
81,2011-03-17,0.954
82,2011-03-18,0.952
83,2011-03-21,0.941
84,2011-03-22,0.937
85,2011-03-23,0.942
86,2011-03-24,0.943
87,2011-03-25,0.943
88,2011-03-28,0.93
89,2011-03-29,0.915
90,2011-03-30,0.912
91,2011-03-31,0.91
92,2011-04-01,0.913
93,2011-04-06,0.904
94,2011-04-07,0.906
95,2011-04-08,0.923
96,2011-04-11,0.918
97,2011-04-12,0.915
98,2011-04-13,0.93
99,2011-04-14,0.933
100,2011-04-15,0.927
101,2011-04-18,0.93
102,2011-04-19,0.931
103,2011-04-20,0.949
104,2011-04-21,0.95
105,2011-04-22,0.944
106,2011-04-25,0.941
107,2011-04-26,0.929
108,2011-04-27,0.92
109,2011-04-28,0.899
110,2011-04-29,0.908
111,2011-05-03,0.923
112,2011-05-04,0.916
113,2011-05-05,0.926
114,2011-05-06,0.934
115,2011-05-09,0.938
116,2011-05-10,0.936
117,2011-05-11,0.939
118,2011-05-12,0.93
119,2011-05-13,0.931
120,2011-05-16,0.931
121,2011-05-17,0.927
122,2011-05-18,0.932
123,2011-05-19,0.932
124,2011-05-20,0.931
125,2011-05-23,0.908
126,2011-05-24,0.905
127,2011-05-25,0.896
128,2011-05-26,0.885
129,2011-05-27,0.876
130,2011-05-30,0.87
131,2011-05-31,0.88
132,2011-06-01,0.885
133,2011-06-02,0.878
134,2011-06-03,0.892
135,2011-06-07,0.9
136,2011-06-08,0.897
137,2011-06-09,0.885
138,2011-06-10,0.886
139,2011-06-13,0.88
140,2011-06-14,0.884
141,2011-06-15,0.878
142,2011-06-16,0.862
143,2011-06-17,0.854
144,2011-06-20,0.845
145,2011-06-21,0.85
146,2011-06-22,0.849
147,2011-06-23,0.861
148,2011-06-24,0.877
149,2011-06-27,0.882
150,2011-06-28,0.885
151,2011-06-29,0.879
152,2011-06-30,0.886
153,2011-07-01,0.892
154,2011-07-04,0.907
155,2011-07-05,0.912
156,2011-07-06,0.915
157,2011-07-07,0.919
158,2011-07-08,0.918
159,2011-07-11,0.929
160,2011-07-12,0.924
161,2011-07-13,0.932
162,2011-07-14,0.934
163,2011-07-15,0.957
164,2011-07-18,0.956
165,2011-07-19,0.948
166,2011-07-20,0.947
167,2011-07-21,0.945
168,2011-07-22,0.949
169,2011-07-25,0.925
170,2011-07-26,0.929
171,2011-07-27,0.939
172,2011-07-28,0.938
173,2011-07-29,0.928
174,2011-08-01,0.93
175,2011-08-02,0.924
176,2011-08-03,0.925
177,2011-08-04,0.925
178,2011-08-05,0.92
179,2011-08-08,0.904
180,2011-08-09,0.906
181,2011-08-10,0.913
182,2011-08-11,0.933
183,2011-08-12,0.939
184,2011-08-15,0.945
185,2011-08-16,0.933
186,2011-08-17,0.929
187,2011-08-18,0.917
188,2011-08-19,0.918
189,2011-08-22,0.906
190,2011-08-23,0.913
191,2011-08-24,0.918
192,2011-08-25,0.928
193,2011-08-26,0.93
194,2011-08-29,0.929
195,2011-08-30,0.922
196,2011-08-31,0.917
197,2011-09-01,0.912
198,2011-09-02,0.903
199,2011-09-05,0.886
200,2011-09-06,0.881
201,2011-09-07,0.893
202,2011-09-08,0.891
203,2011-09-09,0.884
204,2011-09-13,0.872
205,2011-09-14,0.875
206,2011-09-15,0.876
207,2011-09-16,0.877
208,2011-09-19,0.869
209,2011-09-20,0.871
210,2011-09-21,0.887
211,2011-09-22,0.867
212,2011-09-23,0.86
213,2011-09-26,0.848
214,2011-09-27,0.847
215,2011-09-28,0.84
216,2011-09-29,0.826
217,2011-09-30,0.826
218,2011-10-10,0.826
219,2011-10-11,0.823
220,2011-10-12,0.842
221,2011-10-13,0.848
222,2011-10-14,0.844
223,2011-10-17,0.845
224,2011-10-18,0.829
225,2011-10-19,0.824
226,2011-10-20,0.809
227,2011-10-21,0.804
228,2011-10-24,0.814
229,2011-10-25,0.829
230,2011-10-26,0.838
231,2011-10-27,0.839
232,2011-10-28,0.85
233,2011-10-31,0.85
234,2011-11-01,0.853
235,2011-11-02,0.87
236,2011-11-03,0.877
237,2011-11-04,0.878
238,2011-11-07,0.875
239,2011-11-08,0.867
240,2011-11-09,0.874
241,2011-11-10,0.874
242,2011-11-11,0.873
243,2011-11-14,0.887
244,2011-11-15,0.889
245,2011-11-16,0.872
246,2011-11-17,0.873
