,date,value
0,2009-03-10,1.0
1,2009-03-13,1.0
2,2009-03-20,1.005
3,2009-03-27,1.011
4,2009-04-03,1.019
5,2009-04-10,1.022
6,2009-04-16,1.031
7,2009-04-17,1.03
8,2009-04-20,1.039
9,2009-04-21,1.036
10,2009-04-22,1.025
11,2009-04-23,1.027
12,2009-04-24,1.03
13,2009-04-27,1.019
14,2009-04-28,1.02
15,2009-04-29,1.031
16,2009-04-30,1.033
17,2009-05-04,1.047
18,2009-05-05,1.048
19,2009-05-06,1.05
20,2009-05-07,1.049
21,2009-05-08,1.06
22,2009-05-11,1.044
23,2009-05-12,1.055
24,2009-05-13,1.065
25,2009-05-14,1.06
26,2009-05-15,1.06
27,2009-05-18,1.061
28,2009-05-19,1.065
29,2009-05-20,1.055
30,2009-05-21,1.043
31,2009-05-22,1.041
32,2009-05-25,1.042
33,2009-05-26,1.038
34,2009-05-27,1.051
35,2009-06-01,1.077
36,2009-06-02,1.076
37,2009-06-03,1.098
38,2009-06-04,1.096
39,2009-06-05,1.09
40,2009-06-08,1.1
41,2009-06-09,1.113
42,2009-06-10,1.127
43,2009-06-11,1.12
44,2009-06-12,1.105
45,2009-06-15,1.134
46,2009-06-16,1.131
47,2009-06-17,1.141
48,2009-06-18,1.161
49,2009-06-19,1.111
50,2009-06-22,1.109
51,2009-06-23,1.11
52,2009-06-24,1.113
53,2009-06-25,1.116
54,2009-06-26,1.115
55,2009-06-29,1.135
56,2009-06-30,1.133
57,2009-07-01,1.151
58,2009-07-02,1.165
59,2009-07-03,1.169
60,2009-07-06,1.184
61,2009-07-07,1.174
62,2009-07-08,1.167
63,2009-07-09,1.181
64,2009-07-10,1.183
65,2009-07-13,1.173
66,2009-07-14,1.203
67,2009-07-15,1.212
68,2009-07-16,1.213
69,2009-07-17,1.208
70,2009-07-20,1.23
71,2009-07-21,1.22
72,2009-07-22,1.24
73,2009-07-23,1.245
74,2009-07-24,1.256
75,2009-07-27,1.276
76,2009-07-28,1.275
77,2009-07-29,1.223
78,2009-07-30,1.252
79,2009-07-31,1.272
80,2009-08-03,1.277
81,2009-08-04,1.263
82,2009-08-05,1.26
83,2009-08-06,1.24
84,2009-08-07,1.218
85,2009-08-10,1.217
86,2009-08-11,1.224
87,2009-08-12,1.177
88,2009-08-13,1.184
89,2009-08-14,1.144
90,2009-08-17,1.086
91,2009-08-18,1.094
92,2009-08-19,1.05
93,2009-08-20,1.086
94,2009-08-21,1.102
95,2009-08-24,1.106
96,2009-08-25,1.079
97,2009-08-26,1.098
98,2009-08-27,1.105
99,2009-08-28,1.086
100,2009-08-31,1.026
101,2009-09-01,1.04
102,2009-09-02,1.049
103,2009-09-03,1.085
104,2009-09-04,1.087
105,2009-09-07,1.104
106,2009-09-08,1.117
107,2009-09-09,1.112
108,2009-09-10,1.112
109,2009-09-11,1.128
110,2009-09-14,1.14
111,2009-09-15,1.135
112,2009-09-16,1.121
113,2009-09-17,1.138
114,2009-09-18,1.115
115,2009-09-21,1.127
116,2009-09-22,1.118
117,2009-09-23,1.111
118,2009-09-24,1.105
119,2009-09-25,1.11
120,2009-09-28,1.09
121,2009-09-29,1.083
122,2009-09-30,1.087
123,2009-10-09,1.123
124,2009-10-12,1.124
125,2009-10-13,1.133
126,2009-10-14,1.139
127,2009-10-15,1.138
128,2009-10-16,1.134
129,2009-10-19,1.156
130,2009-10-20,1.17
131,2009-10-21,1.157
132,2009-10-22,1.152
133,2009-10-23,1.167
134,2009-10-26,1.173
135,2009-10-27,1.159
136,2009-10-28,1.16
137,2009-10-29,1.142
138,2009-10-30,1.154
139,2009-11-02,1.186
140,2009-11-03,1.201
141,2009-11-04,1.206
142,2009-11-05,1.208
143,2009-11-06,1.214
144,2009-11-09,1.219
145,2009-11-10,1.226
146,2009-11-11,1.225
147,2009-11-12,1.221
148,2009-11-13,1.22
149,2009-11-16,1.244
150,2009-11-17,1.247
151,2009-11-18,1.238
152,2009-11-19,1.242
153,2009-11-20,1.244
154,2009-11-23,1.262
155,2009-11-24,1.215
156,2009-11-25,1.25
157,2009-11-26,1.204
158,2009-11-27,1.176
159,2009-11-30,1.215
160,2009-12-01,1.238
161,2009-12-02,1.245
162,2009-12-03,1.245
163,2009-12-04,1.257
164,2009-12-07,1.267
165,2009-12-08,1.257
166,2009-12-09,1.236
167,2009-12-10,1.237
168,2009-12-11,1.244
169,2009-12-14,1.243
170,2009-12-15,1.244
171,2009-12-16,1.245
172,2009-12-17,1.206
173,2009-12-18,1.185
174,2009-12-21,1.2
175,2009-12-22,1.188
176,2009-12-23,1.13
177,2009-12-24,1.157
178,2009-12-25,1.166
179,2009-12-28,1.175
180,2009-12-29,1.172
181,2009-12-30,1.157
182,2009-12-31,1.152
183,2010-01-04,1.147
184,2010-01-05,1.174
185,2010-01-06,1.159
186,2010-01-07,1.139
187,2010-01-08,1.149
188,2010-01-11,1.158
189,2010-01-12,1.155
190,2010-01-13,1.137
191,2010-01-14,1.169
192,2010-01-15,1.171
193,2010-01-18,1.186
194,2010-01-19,1.185
195,2010-01-20,1.133
196,2010-01-21,1.129
197,2010-01-22,1.096
198,2010-01-25,1.082
199,2010-01-26,1.042
200,2010-01-27,1.041
201,2010-01-28,1.059
202,2010-01-29,1.069
203,2010-02-01,1.051
204,2010-02-02,1.04
205,2010-02-03,1.041
206,2010-02-04,1.039
207,2010-02-05,1.018
208,2010-02-08,1.024
209,2010-02-09,1.02
210,2010-02-10,1.035
211,2010-02-11,1.037
212,2010-02-12,1.051
213,2010-02-22,1.055
214,2010-02-23,1.059
215,2010-02-24,1.077
216,2010-02-25,1.086
217,2010-02-26,1.087
218,2010-03-01,1.097
219,2010-03-02,1.095
220,2010-03-03,1.105
221,2010-03-04,1.081
222,2010-03-05,1.093
223,2010-03-08,1.099
224,2010-03-09,1.092
225,2010-03-10,1.079
226,2010-03-11,1.078
227,2010-03-12,1.076
228,2010-03-15,1.072
229,2010-03-16,1.073
230,2010-03-17,1.096
231,2010-03-18,1.092
232,2010-03-19,1.099
233,2010-03-22,1.106
234,2010-03-23,1.109
235,2010-03-24,1.117
236,2010-03-25,1.107
237,2010-03-26,1.112
238,2010-03-29,1.118
239,2010-03-30,1.121
240,2010-03-31,1.121
241,2010-04-01,1.144
242,2010-04-02,1.146
243,2010-04-06,1.148
244,2010-04-07,1.153
245,2010-04-08,1.154
246,2010-04-09,1.167
247,2010-04-12,1.172
248,2010-04-13,1.169
249,2010-04-14,1.177
250,2010-04-15,1.169
251,2010-04-16,1.165
252,2010-04-19,1.128
253,2010-04-20,1.152
254,2010-04-21,1.176
255,2010-04-22,1.174
256,2010-04-23,1.163
257,2010-04-26,1.156
258,2010-04-27,1.138
259,2010-04-28,1.135
260,2010-04-29,1.112
261,2010-04-30,1.097
262,2010-05-04,1.11
263,2010-05-05,1.13
264,2010-05-06,1.111
265,2010-05-07,1.101
266,2010-05-10,1.083
267,2010-05-11,1.065
268,2010-05-12,1.047
269,2010-05-13,1.068
270,2010-05-14,1.067
271,2010-05-17,1.028
272,2010-05-18,1.035
273,2010-05-19,1.045
274,2010-05-20,1.033
275,2010-05-21,1.051
276,2010-05-24,1.082
277,2010-05-25,1.073
278,2010-05-26,1.068
279,2010-05-27,1.09
280,2010-05-28,1.094
281,2010-05-31,1.068
282,2010-06-01,1.056
283,2010-06-02,1.067
284,2010-06-03,1.06
285,2010-06-04,1.067
286,2010-06-07,1.073
287,2010-06-08,1.08
288,2010-06-09,1.097
289,2010-06-10,1.097
290,2010-06-11,1.099
291,2010-06-17,1.086
292,2010-06-18,1.056
293,2010-06-21,1.076
294,2010-06-22,1.075
295,2010-06-23,1.072
296,2010-06-24,1.077
297,2010-06-25,1.071
298,2010-06-28,1.062
299,2010-06-29,1.034
300,2010-06-30,1.027
301,2010-07-01,1.015
302,2010-07-02,1.01
303,2010-07-05,1.004
304,2010-07-06,1.025
305,2010-07-07,1.033
306,2010-07-08,1.027
307,2010-07-09,1.051
308,2010-07-12,1.056
309,2010-07-13,1.048
310,2010-07-14,1.05
311,2010-07-15,1.036
312,2010-07-16,1.04
313,2010-07-19,1.06
314,2010-07-20,1.079
315,2010-07-21,1.078
316,2010-07-22,1.087
317,2010-07-23,1.088
318,2010-07-26,1.097
319,2010-07-27,1.103
320,2010-07-28,1.125
321,2010-07-29,1.126
322,2010-07-30,1.126
323,2010-08-02,1.144
324,2010-08-03,1.124
325,2010-08-04,1.137
326,2010-08-05,1.139
327,2010-08-06,1.158
328,2010-08-09,1.169
329,2010-08-10,1.139
330,2010-08-11,1.147
331,2010-08-12,1.136
332,2010-08-13,1.149
333,2010-08-16,1.172
334,2010-08-17,1.174
335,2010-08-18,1.165
336,2010-08-19,1.168
337,2010-08-20,1.145
338,2010-08-23,1.151
339,2010-08-24,1.158
340,2010-08-25,1.151
341,2010-08-26,1.161
342,2010-08-27,1.165
343,2010-08-30,1.183
344,2010-08-31,1.186
345,2010-09-01,1.169
346,2010-09-02,1.182
347,2010-09-03,1.194
348,2010-09-06,1.194
349,2010-09-07,1.194
350,2010-09-08,1.2
351,2010-09-09,1.191
352,2010-09-10,1.2
353,2010-09-13,1.21
354,2010-09-14,1.211
355,2010-09-15,1.197
356,2010-09-16,1.183
357,2010-09-17,1.025
358,2010-09-20,1.025
359,2010-09-21,1.025
360,2010-09-27,1.034
361,2010-09-28,1.031
362,2010-09-29,1.026
363,2010-09-30,1.037
364,2010-10-08,1.053
365,2010-10-11,1.06
366,2010-10-12,1.067
367,2010-10-13,1.069
368,2010-10-14,1.057
369,2010-10-15,1.066
370,2010-10-18,1.065
371,2010-10-19,1.084
372,2010-10-20,1.086
373,2010-10-21,1.086
374,2010-10-22,1.088
375,2010-10-25,1.117
376,2010-10-26,1.127
377,2010-10-27,1.112
378,2010-10-28,1.115
379,2010-10-29,1.13
380,2010-11-01,1.153
381,2010-11-02,1.144
382,2010-11-03,1.128
383,2010-11-04,1.147
384,2010-11-05,1.159
385,2010-11-08,1.181
386,2010-11-09,1.183
387,2010-11-10,1.191
388,2010-11-11,1.182
389,2010-11-12,1.122
390,2010-11-15,1.157
391,2010-11-16,1.128
392,2010-11-17,1.083
393,2010-11-18,1.099
394,2010-11-19,1.127
395,2010-11-22,1.15
396,2010-11-23,1.143
397,2010-11-24,1.164
398,2010-11-25,1.167
399,2010-11-26,1.158
400,2010-11-29,1.165
401,2010-11-30,1.148
402,2010-12-01,1.145
403,2010-12-02,1.146
404,2010-12-03,1.147
405,2010-12-06,1.133
406,2010-12-07,1.146
407,2010-12-08,1.144
408,2010-12-09,1.128
409,2010-12-10,1.141
410,2010-12-13,1.172
411,2010-12-14,1.186
412,2010-12-15,1.177
413,2010-12-16,1.175
414,2010-12-17,1.178
415,2010-12-20,1.177
416,2010-12-21,1.189
417,2010-12-22,1.18
418,2010-12-23,1.16
419,2010-12-24,1.145
420,2010-12-27,1.13
421,2010-12-28,1.118
422,2010-12-29,1.132
423,2010-12-30,1.134
424,2010-12-31,1.153
425,2011-01-04,1.172
426,2011-01-05,1.172
427,2011-01-06,1.161
428,2011-01-07,1.153
429,2011-01-10,1.134
430,2011-01-11,1.133
431,2011-01-12,1.132
432,2011-01-13,1.133
433,2011-01-14,1.116
434,2011-01-17,1.076
435,2011-01-18,1.082
436,2011-01-19,1.103
437,2011-01-20,1.075
438,2011-01-21,1.085
439,2011-01-24,1.072
440,2011-01-25,1.06
441,2011-01-26,1.079
442,2011-01-27,1.097
443,2011-01-28,1.109
444,2011-01-31,1.126
445,2011-02-01,1.124
446,2011-02-09,1.119
447,2011-02-10,1.142
448,2011-02-11,1.151
449,2011-02-14,1.175
450,2011-02-15,1.171
451,2011-02-16,1.192
452,2011-02-17,1.197
453,2011-02-18,1.183
454,2011-02-21,1.208
455,2011-02-22,1.184
456,2011-02-23,1.192
457,2011-02-24,1.198
458,2011-02-25,1.199
459,2011-02-28,1.217
460,2011-03-01,1.216
461,2011-03-02,1.212
462,2011-03-03,1.191
463,2011-03-04,1.209
464,2011-03-07,1.226
465,2011-03-08,1.223
466,2011-03-09,1.227
467,2011-03-10,1.218
468,2011-03-11,1.213
469,2011-03-14,1.225
470,2011-03-15,1.209
471,2011-03-16,1.221
472,2011-03-17,1.204
473,2011-03-18,1.209
474,2011-03-21,1.196
475,2011-03-22,1.195
476,2011-03-23,1.203
477,2011-03-24,1.202
478,2011-03-25,1.211
479,2011-03-28,1.2
480,2011-03-29,1.186
481,2011-03-30,1.183
482,2011-03-31,1.175
483,2011-04-01,1.188
484,2011-04-06,1.193
485,2011-04-07,1.196
486,2011-04-08,1.202
487,2011-04-11,1.196
488,2011-04-12,1.194
489,2011-04-13,1.205
490,2011-04-14,1.199
491,2011-04-15,1.197
492,2011-04-18,1.205
493,2011-04-19,1.194
494,2011-04-20,1.197
495,2011-04-21,1.199
496,2011-04-22,1.194
497,2011-04-25,1.18
498,2011-04-26,1.168
499,2011-04-27,1.161
500,2011-04-28,1.138
501,2011-04-29,1.15
502,2011-05-03,1.159
503,2011-05-04,1.141
504,2011-05-05,1.0
505,2011-05-06,1.003
506,2011-05-09,1.005
507,2011-05-10,1.011
508,2011-05-11,1.011
509,2011-05-12,1.003
510,2011-05-13,1.007
511,2011-05-16,1.006
512,2011-05-17,1.006
513,2011-05-18,1.011
514,2011-05-19,1.007
515,2011-05-20,1.008
516,2011-05-23,0.978
517,2011-05-24,0.98
518,2011-05-25,0.969
519,2011-05-26,0.964
520,2011-05-27,0.952
521,2011-05-30,0.944
522,2011-05-31,0.953
523,2011-06-01,0.957
524,2011-06-02,0.946
525,2011-06-03,0.957
526,2011-06-07,0.965
527,2011-06-08,0.968
528,2011-06-09,0.953
529,2011-06-10,0.957
530,2011-06-13,0.954
531,2011-06-14,0.963
532,2011-06-15,0.957
533,2011-06-16,0.944
534,2011-06-17,0.94
535,2011-06-20,0.933
536,2011-06-21,0.942
537,2011-06-22,0.939
538,2011-06-23,0.952
539,2011-06-24,0.966
540,2011-06-27,0.972
541,2011-06-28,0.975
542,2011-06-29,0.966
543,2011-06-30,0.978
544,2011-07-01,0.982
545,2011-07-04,0.997
546,2011-07-05,0.998
547,2011-07-06,0.999
548,2011-07-07,0.998
549,2011-07-08,0.999
550,2011-07-11,1.004
551,2011-07-12,0.993
552,2011-07-13,1.006
553,2011-07-14,1.01
554,2011-07-15,1.015
555,2011-07-18,1.017
556,2011-07-19,1.012
557,2011-07-20,1.014
558,2011-07-21,1.004
559,2011-07-22,1.005
560,2011-07-25,0.984
561,2011-07-26,0.987
562,2011-07-27,0.998
563,2011-07-28,0.995
564,2011-07-29,0.989
565,2011-08-01,0.995
566,2011-08-02,0.989
567,2011-08-03,0.991
568,2011-08-04,0.995
569,2011-08-05,0.986
570,2011-08-08,0.962
571,2011-08-09,0.97
572,2011-08-10,0.977
573,2011-08-11,0.986
574,2011-08-12,0.992
575,2011-08-15,1.003
576,2011-08-16,0.994
577,2011-08-17,0.993
578,2011-08-18,0.98
579,2011-08-19,0.974
580,2011-08-22,0.963
581,2011-08-23,0.974
582,2011-08-24,0.972
583,2011-08-25,0.994
584,2011-08-26,0.997
585,2011-08-29,0.988
586,2011-08-30,0.984
587,2011-08-31,0.98
588,2011-09-01,0.974
589,2011-09-02,0.961
590,2011-09-05,0.947
591,2011-09-06,0.943
592,2011-09-07,0.962
593,2011-09-08,0.953
594,2011-09-09,0.952
595,2011-09-13,0.941
596,2011-09-14,0.946
597,2011-09-15,0.947
598,2011-09-16,0.948
599,2011-09-19,0.933
600,2011-09-20,0.935
601,2011-09-21,0.955
602,2011-09-22,0.931
603,2011-09-23,0.924
604,2011-09-26,0.908
605,2011-09-27,0.912
606,2011-09-28,0.901
607,2011-09-29,0.89
608,2011-09-30,0.889
609,2011-10-10,0.883
610,2011-10-11,0.884
611,2011-10-12,0.907
612,2011-10-13,0.914
613,2011-10-14,0.908
614,2011-10-17,0.91
615,2011-10-18,0.889
616,2011-10-19,0.884
617,2011-10-20,0.865
618,2011-10-21,0.855
619,2011-10-24,0.871
620,2011-10-25,0.888
621,2011-10-26,0.903
622,2011-10-27,0.908
623,2011-10-28,0.927
624,2011-10-31,0.933
625,2011-11-01,0.928
626,2011-11-02,0.947
627,2011-11-03,0.951
628,2011-11-04,0.955
629,2011-11-07,0.949
630,2011-11-08,0.943
631,2011-11-09,0.951
632,2011-11-10,0.938
633,2011-11-11,0.939
634,2011-11-14,0.957
635,2011-11-15,0.96
636,2011-11-16,0.935
637,2011-11-17,0.933
638,2011-11-18,0.913
639,2011-11-21,0.914
640,2011-11-22,0.914
641,2011-11-23,0.91
642,2011-11-24,0.915
643,2011-11-25,0.909
644,2011-11-28,0.91
645,2011-11-29,0.919
646,2011-11-30,0.891
647,2011-12-01,0.905
648,2011-12-02,0.891
649,2011-12-05,0.876
650,2011-12-06,0.877
651,2011-12-07,0.882
652,2011-12-08,0.884
653,2011-12-09,0.878
654,2011-12-12,0.869
655,2011-12-13,0.854
656,2011-12-14,0.848
657,2011-12-15,0.838
658,2011-12-16,0.857
659,2011-12-19,0.86
660,2011-12-20,0.859
661,2011-12-21,0.842
662,2011-12-22,0.837
663,2011-12-23,0.844
664,2011-12-26,0.839
665,2011-12-27,0.825
666,2011-12-28,0.825
667,2011-12-29,0.829
668,2011-12-30,0.843
669,2011-12-31,0.843
670,2012-01-04,0.826
671,2012-01-05,0.804
672,2012-01-06,0.798
673,2012-01-09,0.825
674,2012-01-10,0.849
675,2012-01-11,0.847
676,2012-01-12,0.841
677,2012-01-13,0.818
678,2012-01-16,0.798
679,2012-01-17,0.829
680,2012-01-18,0.81
681,2012-01-19,0.819
682,2012-01-20,0.834
683,2012-01-30,0.825
684,2012-01-31,0.83
685,2012-02-01,0.825
686,2012-02-02,0.84
687,2012-02-03,0.85
688,2012-02-06,0.853
689,2012-02-07,0.841
690,2012-02-08,0.858
691,2012-02-09,0.863
692,2012-02-10,0.866
693,2012-02-13,0.866
694,2012-02-14,0.867
695,2012-02-15,0.874
696,2012-02-16,0.872
697,2012-02-17,0.87
698,2012-02-20,0.873
699,2012-02-21,0.883
700,2012-02-22,0.9
701,2012-02-23,0.899
702,2012-02-24,0.91
703,2012-02-27,0.91
704,2012-02-28,0.905
705,2012-02-29,0.891
706,2012-03-01,0.893
707,2012-03-02,0.907
708,2012-03-05,0.901
709,2012-03-06,0.894
710,2012-03-07,0.894
711,2012-03-08,0.905
712,2012-03-09,0.913
713,2012-03-12,0.913
714,2012-03-13,0.92
715,2012-03-14,0.894
716,2012-03-15,0.891
717,2012-03-16,0.908
718,2012-03-19,0.912
719,2012-03-20,0.9
720,2012-03-21,0.897
721,2012-03-22,0.895
722,2012-03-23,0.888
723,2012-03-26,0.884
724,2012-03-27,0.883
725,2012-03-28,0.862
726,2012-03-29,0.855
727,2012-03-30,0.855
728,2012-03-31,0.855
729,2012-04-05,0.87
730,2012-04-06,0.87
731,2012-04-09,0.865
732,2012-04-10,0.87
733,2012-04-11,0.87
734,2012-04-12,0.882
735,2012-04-13,0.884
736,2012-04-16,0.884
737,2012-04-17,0.877
738,2012-04-18,0.891
739,2012-04-19,0.888
740,2012-04-20,0.895
741,2012-04-23,0.884
742,2012-04-24,0.878
743,2012-04-25,0.884
744,2012-04-26,0.88
745,2012-04-27,0.876
746,2012-05-02,0.887
747,2012-05-03,0.893
748,2012-05-04,0.895
749,2012-05-07,0.896
750,2012-05-08,0.9
751,2012-05-09,0.889
752,2012-05-10,0.89
753,2012-05-11,0.888
754,2012-05-14,0.889
755,2012-05-15,0.887
756,2012-05-16,0.878
757,2012-05-17,0.885
758,2012-05-18,0.88
759,2012-05-21,0.876
760,2012-05-22,0.881
761,2012-05-23,0.876
762,2012-05-24,0.871
763,2012-05-25,0.863
764,2012-05-28,0.871
765,2012-05-29,0.88
766,2012-05-30,0.88
767,2012-05-31,0.882
768,2012-06-01,0.882
769,2012-06-04,0.867
