,date,value
0,2011-04-07,1.0
1,2011-04-08,1.0
2,2011-04-15,1.0
3,2011-04-22,1.0
4,2011-04-29,1.001
5,2011-05-06,1.001
6,2011-05-10,1.001
7,2011-05-11,1.001
8,2011-05-12,1.001
9,2011-05-13,1.001
10,2011-05-16,1.001
11,2011-05-17,1.001
12,2011-05-18,1.002
13,2011-05-19,1.002
14,2011-05-20,1.002
15,2011-05-23,1.002
16,2011-05-24,1.002
17,2011-05-25,1.002
18,2011-05-26,1.002
19,2011-05-27,1.002
20,2011-05-30,1.002
21,2011-05-31,1.002
22,2011-06-01,1.002
23,2011-06-02,1.003
24,2011-06-03,1.004
25,2011-06-07,1.005
26,2011-06-08,1.005
27,2011-06-09,1.003
28,2011-06-10,1.004
29,2011-06-13,1.004
30,2011-06-14,1.006
31,2011-06-15,1.005
32,2011-06-16,1.005
33,2011-06-17,1.005
34,2011-06-20,1.005
35,2011-06-21,1.005
36,2011-06-22,1.005
37,2011-06-23,1.006
38,2011-06-24,1.006
39,2011-06-27,1.006
40,2011-06-28,1.006
41,2011-06-29,1.006
42,2011-06-30,1.007
43,2011-07-01,1.007
44,2011-07-04,1.007
45,2011-07-05,1.007
46,2011-07-06,1.007
47,2011-07-07,1.006
48,2011-07-08,1.006
49,2011-07-11,1.006
50,2011-07-12,1.002
51,2011-07-13,1.005
52,2011-07-14,1.007
53,2011-07-15,1.01
54,2011-07-18,1.013
55,2011-07-19,1.006
56,2011-07-20,1.004
57,2011-07-21,0.992
58,2011-07-22,0.994
59,2011-07-25,0.956
60,2011-07-26,0.957
61,2011-07-27,0.971
62,2011-07-28,0.965
63,2011-07-29,0.952
64,2011-08-01,0.954
65,2011-08-02,0.945
66,2011-08-03,0.945
67,2011-08-04,0.95
68,2011-08-05,0.931
69,2011-08-08,0.892
70,2011-08-09,0.889
71,2011-08-10,0.898
72,2011-08-11,0.908
73,2011-08-12,0.917
74,2011-08-15,0.929
75,2011-08-16,0.922
76,2011-08-17,0.918
77,2011-08-18,0.901
78,2011-08-19,0.888
79,2011-08-22,0.879
80,2011-08-23,0.892
81,2011-08-24,0.893
82,2011-08-25,0.912
83,2011-08-26,0.914
84,2011-08-29,0.903
85,2011-08-30,0.897
86,2011-08-31,0.893
87,2011-09-01,0.888
88,2011-09-02,0.88
89,2011-09-05,0.857
90,2011-09-06,0.851
91,2011-09-07,0.868
92,2011-09-08,0.86
93,2011-09-09,0.858
94,2011-09-13,0.843
95,2011-09-14,0.851
96,2011-09-15,0.854
97,2011-09-16,0.857
98,2011-09-19,0.844
99,2011-09-20,0.848
100,2011-09-21,0.874
101,2011-09-22,0.853
102,2011-09-23,0.852
103,2011-09-26,0.843
104,2011-09-27,0.849
105,2011-09-28,0.841
106,2011-09-29,0.824
107,2011-09-30,0.815
108,2011-10-10,0.807
109,2011-10-11,0.804
110,2011-10-12,0.833
111,2011-10-13,0.841
112,2011-10-14,0.836
113,2011-10-17,0.838
114,2011-10-18,0.815
115,2011-10-19,0.811
116,2011-10-20,0.793
117,2011-10-21,0.778
118,2011-10-24,0.792
119,2011-10-25,0.81
120,2011-10-26,0.818
121,2011-10-27,0.814
122,2011-10-28,0.83
123,2011-10-31,0.834
124,2011-11-01,0.835
125,2011-11-02,0.851
126,2011-11-03,0.858
127,2011-11-04,0.867
128,2011-11-07,0.861
129,2011-11-08,0.852
130,2011-11-09,0.866
131,2011-11-10,0.856
132,2011-11-11,0.853
133,2011-11-14,0.871
134,2011-11-15,0.876
135,2011-11-16,0.852
136,2011-11-17,0.851
137,2011-11-18,0.827
138,2011-11-21,0.831
139,2011-11-22,0.831
140,2011-11-23,0.826
141,2011-11-24,0.828
142,2011-11-25,0.821
143,2011-11-28,0.821
144,2011-11-29,0.833
145,2011-11-30,0.803
146,2011-12-01,0.816
147,2011-12-02,0.801
148,2011-12-05,0.78
149,2011-12-06,0.778
150,2011-12-07,0.78
151,2011-12-08,0.78
152,2011-12-09,0.773
153,2011-12-12,0.768
154,2011-12-13,0.742
155,2011-12-14,0.73
156,2011-12-15,0.712
157,2011-12-16,0.729
158,2011-12-19,0.732
159,2011-12-20,0.727
160,2011-12-21,0.711
