投资总金额：154.00元
股份数：95.39份
当前每股单价：1.26元/份
卖出收益(扣税后)：64.66
基金价值：120.48元
收益率(卖出收益+基金价值/投资总金额,部分扣税)：20.22%
池子:
        date      stock day_delta  fee/%  value  improve/%
0 2022-11-08  12.262757 1202 days    0.0  0.972  29.938272
1 2022-11-18  14.170213 1192 days    0.0  0.987  27.963526
2 2022-12-19  13.916418 1161 days    0.0  1.005  25.671642
3 2022-12-21  14.084592 1159 days    0.0  0.993  27.190332
4 2022-12-23  14.127273 1157 days    0.0  0.990  27.575758
5 2023-02-10  13.409396 1108 days    0.0  1.043  21.093001
6 2023-02-16  13.422265 1102 days    0.0  1.042  21.209213
按低值出售的池子:
        date      stock day_delta  fee/%  value  improve/%
0 2022-11-07  12.262757 1203 days    0.0  0.977  29.273286
1 2022-11-18  14.170213 1192 days    0.0  0.987  27.963526
2 2022-12-19  13.916418 1161 days    0.0  1.005  25.671642
3 2022-12-21  14.084592 1159 days    0.0  0.993  27.190332
4 2022-12-23  14.127273 1157 days    0.0  0.990  27.575758
5 2023-02-10  13.409396 1108 days    0.0  1.043  21.093001
6 2023-02-16  13.422265 1102 days    0.0  1.042  21.209213
