,date,operation,quantity
0,2022-10-11,buy,16.0
1,2022-10-18,buy,16.0
2,2022-11-21,buy,16.0
3,2022-11-22,buy,16.0
4,2022-11-23,buy,16.0
5,2022-11-28,buy,16.0
6,2022-12-1,buy,16.0
7,2022-12-2,buy,16.0
8,2022-12-9,buy,56.0
9,2022-12-19,buy,16.0
10,2023-01-06,buy,16.0
11,2023-01-13,buy,16.0
12,2023-01-16,buy,16.0
13,2023-01-18,sell,81.84
14,2023-02-01,buy,16.0
15,2023-02-08,buy,16.0
16,2023-02-10,buy,16.0
17,2023-02-13,buy,16.0
18,2023-02-14,buy,16.0
19,2023-02-15,buy,29.0
20,2023-02-16,buy,29.0
21,2023-02-17,buy,16.0
22,2023-02-21,buy,16.0
23,2023-02-27,buy,16.0
24,2023-02-28,buy,16.0
25,2023-03-06,buy,16.0
26,2023-03-07,buy,16.0
27,2023-03-07,buy,16.0
28,2023-03-22,buy,16.0
29,2023-03-27,buy,36.0
30,2023-04-03,buy,136.0
31,2023-04-04,buy,56.0
32,2023-04-17,buy,23
