,date,operation,quantity
0,2022-10-12,buy,20.0
1,2022-10-13,buy,14.0
2,2022-10-18,buy,14.0
3,2022-10-19,buy,24.0
4,2022-10-20,buy,24.0
5,2022-10-24,buy,100.0
6,2022-10-25,buy,14.0
7,2022-10-27,buy,14.0
8,2022-11-9,buy,14.0
9,2022-11-14,buy,14.0
10,2022-11-15,sell,5.0
11,2022-11-21,buy,14.0
12,2022-11-24,buy,14.0
13,2022-11-24,sell,32.0
14,2022-12-19,sell,30.0
15,2022-12-26,buy,14.0
16,2022-12-29,buy,14.0
17,2023-01-09,buy,14.0
18,2023-01-18,sell,60.64
19,2023-02-08,buy,14.0
20,2023-02-14,buy,14
