,date,operation,quantity
0,2022-11-10,buy,12
1,2022-11-14,buy,12
2,2022-11-17,buy,12
3,2022-11-25,buy,12
4,2022-11-28,buy,12
5,2022-12-1,buy,12
6,2022-12-5,buy,12
7,2022-12-9,buy,12
8,2022-12-14,buy,12
9,2022-12-19,buy,12
10,2022-12-23,buy,12
11,2022-12-26,buy,12
12,2022-12-29,buy,12
13,2022-12-30,buy,12
14,2023-01-13,buy,12
15,2023-01-30,buy,12
16,2023-02-10,buy,12
17,2023-02-14,buy,12
18,2023-02-15,buy,12
19,2023-02-16,buy,12
20,2023-02-17,buy,12
21,2023-02-21,buy,12
22,2023-02-22,buy,12
23,2023-02-27,buy,12
24,2023-03-01,buy,28
25,2023-03-22,buy,103
26,2023-04-17,buy,12
27,2023-04-19,buy,12
28,2023-04-28,buy,37
29,2023-05-04,buy,95
30,2023-05-11,buy,95
31,2023-05-22,buy,20
